,Ad Name,Adset Name,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1775,MD_LA_FB_3227_IMG_EN_FU-Sugar_C-Veins_H-1807_T-674_W03_V4 | 28-Day Plan | Engineered | LP: mybody.health/startnow/mb-pbp-sugar | FB: Thrive at 65 | CTA: Learn More,Klinio Leads | All | 41-65+ | TOP3 | MB Legacy Pixel | 1DC1DV | Manual Feed & Reels Only | 3x8 | NC | 11:40,$1,63,2025-04-09,2025-04-09,0
1776,MB_MPS_FB_3347_IMG_EN_FU-Sugar_C-Diabetes_H-734_T-473_Itr_W11_V6 | Controlled | Struggling | LP: mybody.health/startnow/landing-1-mb-pbp-sugar | FB: Thrive at 65 | CTA: Learn More,Klinio Leads | All | 25-65+ | TOP4 | MB Legacy Pixel | 1DC1DV | Manual Manual Feed & Reels Only | 2x7 | NC | 11:40 – Copy,$1,68,2025-04-10,2025-04-11,1
1777,MB_LA_FB_3354_IMG_EN_FU-sugar_C-Split_H-1616_T-H380_T-59_T-473_W11_V6 | Controlled | Struggling | LP: mybody.health/startnow/mb-pbp-sugar-landing-1 | FB: MB Health | CTA: Learn More,WC || Mix || Funnel: MB || CBO || MB Legacy Pixel || L3D Adset Mix #3 || 04.11 DJ - Advantage+ shopping campaign Ad Set,$1,272,2025-04-11,2025-04-12,1
1778,MB_MPS_FB_3339_IMG_EN_FU-sugar_C-Winners_H-1843_T-674_Itr_W10_V3 | 28-Day Plan | Engineered | LP: mybody.health/startnow/mb-pbp-sugar | FB: MB | CTA: Learn More,WC || Mix || Funnel: MB || ASC+ || MB Legacy Pixel || L3D Adset Mix #3 || 04.12 DJ - Advantage+ shopping campaign Ad Set,$1,362,2025-04-12,2025-04-14,2
1779,MD_LA_FB_3257_IMG_EN_FU-sugar_C-Split_H-1616_T-H380_T-59_T-473_W05_V5 | 28-Day Plan | Engineered | LP: mybody.health/startnow/seniors-1-mb-pbp-sugar | FB: MB | CTA: Download,Klinio Leads | All | 41-65+ | TOP4 | MB Legacy Pixel | 1DC1DV | Manual Manual Feed & Reels Only | 3x8 | NC | 11:40 – Copy,$1,53,2025-04-11,2025-04-11,0
1780,MD_LA_FB_3087_IMG_EN_FU-sugar_C-Beginners_H-1616_W48_V1 | 5 Reasons Why | 5 Reasons Why | LP: mybody.health/startnow/mb-pbp-sugar-landing-2 | FB: MB Health | CTA: Learn More,Klinio Leads | All | 25-65+ | TOP4 | MB Legacy Pixel | 1DC1DV | Manual Manual Feed & Reels Only | 2x7 | NC | 11:40,$1,41,2025-04-09,2025-04-09,0
1781,MB_LA_FB_3382_IMG_EN_FU-pcos-landing1_C-LocaleDE_H-1980_T-820_W13_V4 | Lindert Symptom | Probleme mit | LP: mybody.health/de/startnow/mb-pbp-pcos-landing1 | FB: MB Health,DE-L | LP: PCOS | Broad | 18+ | All | 1DC | Auto Placements | Roas Goal,$1,63,2025-04-08,2025-04-08,0
1782,MD_LA_FB_3087_IMG_EN_FU-sugar_C-Beginners_H-1616_W48_V1 | 5 Reasons Why | 5 Reasons Why | LP: mybody.health/startnow/mb-pbp-sugar-landing-1| FB: MB Health | CTA: Learn More,WC || Mix || Funnel: MB || CBO || MB Legacy Pixel || L3D Adset Mix #4 || 04.07 DJ - Advantage+ shopping campaign Ad Set,$1,115,2025-04-07,2025-04-08,1
1783,MD_GA_FB_2597_EN_FU-Sugar_PP-MD_IMG_1x1_AdT-SplitScreEN_FU-Sugar_H-1200_TESTI-H380_TESTI-59_TESTI-473_CTA-0_V5 | 28-Day | Engineered | LP: mybody.health/startnow/mb-pbp-sugar-landing-1 | FB: MB Health | CTA: Learn More,WC || Mix || Funnel: MB || CBO || MB Legacy Pixel || L3D Adset Mix #3 || 04.11 DJ - Advantage+ shopping campaign Ad Set,$1,229,2025-04-11,2025-04-12,1
1784,MB_LA_FB_3349_IMG_EN_fu-pcos-landing1_C-PCOS_H-1980_T-820_Itr_W11_V2 | Controlled | Engineered | LP: mybody.health/startnow/mb-pbp-pcos-landing1 | FB: MB Health | CTA: Learn More,BMI & Diabetics | All | 41-65+ | WW + Exclusions 02.11 | MB Legacy Pixel | 1DC1DV | Manual Feed & Reels Only | 3x2 | NC | 11:40,$1,399,2025-04-09,2025-04-09,0
