,Ad Name,Adset Name,Creative Type,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,MOE_971_3_SpicyApplovin5New_BOF_MD_VID_9x16_EN_Pills_P-001_T-01_O-YES_V-YES_HL-Mix-Mix_M-Mix_D-25-04-4 | W18 | {2025.04.30},PILLS QUIZ | SCALE / VID CREATIVES / ASC+ / {2023.12.12},VIDEO,"$10,937","106,292",2025-05-14,2025-05-26,12
2,MOE_1052_3_ALUopti2_BOF_RS_VID_9x16_EN_Opt-930-1_P-004_T-01_O-YES_V-YES_HL-Blonde-L_M-299_D-25-04-5 | LP: SPRAY QUIZ,SCALE | QUIZ (US ads) | UK A18+ | 7DC | Ex: None | LP: SPRAY QUIZ,VIDEO,"$6,324","201,340",2025-05-19,2025-05-26,7
3,MOE_1052_3_ALUopti2_BOF_RS_VID_9x16_EN_Opt-930-1_P-004_T-01_O-YES_V-YES_HL-Blonde-L_M-299_D-25-04-5 | LP: SPRAY QUIZ,SCALE | Prospecting | ASC-CBO | US | US A18+ | 7DC | Ex: PUR WV LEAD | LP: SPRAY QUIZ,VIDEO,"$6,265","171,441",2025-05-12,2025-05-26,14
4,MOE_1052_3_ALUopti2_BOF_RS_VID_9x16_EN_Opt-930-1_P-004_T-01_O-YES_V-YES_HL-Blonde-L_M-299_D-25-04-5 | LP: SPRAY QUIZ,PP: 004 | Top3 | Broad A+ | A25+ | 1DC | Ex: Hot | LP: SPRAY QUIZ,VIDEO,"$5,339","198,170",2025-05-13,2025-05-26,13
5,MOE_930_1_ALUopti_RS_VID_9x16_EN_Opt-787-2_P-004_T-01_O-YES_V-YES_HL-Black-L_M-Mix_D-24-07-2 | LP: SPRAY QUIZ,SCALE | ASC (Top Winners 0% CC) | 7DC | US+CA+AU | EX: PUR 180 | 100% | LP: SPRAY QUIZ {2024.03.25}   Ad set,VIDEO,"$4,197","109,497",2025-01-10,2025-05-26,136
6,MOE_RS_FB_9_Opt_VID_9x16_EN_BF_Opt-1192-2_P-001_O-NO_HL-Blonde-L_M-03_D-22-01-1_1 |  LP: SPRAY QUIZ | {2023.08.28},SCALE | QUIZ (US ads) | UK A18+ | 7DC | Ex: None | LP: SPRAY QUIZ,VIDEO,"$3,802","147,819",2025-04-17,2025-05-26,39
7,MOE_91_AAVopti_MD_IMG_1x1_EN_Opt-24-4_Pills_P-016_T-01_O-YES_V-NO_HL-None_M-None_D-24-01-4_1 | Hair Growth Insider | PILLS QUIZ | {2024.01.24},3PP / HGI-V2 / SCALE / (last touch) / US - W24-64 / EX: PUR / 1DC / {2024.02.20},SHARE,"$3,193","85,225",2024-02-20,2025-05-26,461
8,MOE_RS_FB_464_New_VID_9x16_EN_Pills_P-009_O-NO_HL-Brunette-L_M-81_D-23-04-1_2 | I wish I’d tried these earlier! | Loved by more than 100.000 women | LP: PILLS QUIZ {2023.04.08},3PP / HGI-V1 / SCALE / US - W22+ / EX: PUR / 1DC / {2023.10.06},VIDEO,"$3,047","41,081",2023-10-06,2025-05-26,598
9,MOE_787_1_SpicyApplovin3New_MD_VID_9x16_EN_Pills_P-001_T-01_O-NO_V-YES_HL-Mix-Mix_M-Mix_D-25-04-1 | W14 | {2025.04.02},PILLS QUIZ | SCALE / VID CREATIVES / ASC+ / {2023.12.12},VIDEO,"$3,037","32,436",2025-04-10,2025-05-26,46
10,MOE_1699_2_AXLopti_RS_IMG_1x1_EN_Opt-1230-4_BF24_Code10_P-001_T-01_O-YES_V-NO_HL-None_M-None_D-24-11-2 | LP: SPRAY QUIZ,SCALE | RETARGETING | US+CA+AUS A18+ | 1DC | EX: Pur | LP: SPRAY QUIZ,SHARE,"$2,891","82,000",2024-11-25,2025-05-26,182
11,MOE_630_3_CBcopycatNew_BOF_MD_VID_9x16_EN_Pills_P-001_T-01_O-YES_V-YES_HL-Blonde-L_M-143_D-25-03-2 | W12 | {2025.03.19},PILLS QUIZ | SCALE / VID CREATIVES / ASC+ / {2023.12.12},VIDEO,"$2,855","46,398",2025-04-07,2025-05-26,49
12,MOE_971_3_SpicyApplovin5New_BOF_MD_VID_9x16_EN_Pills_P-001_T-01_O-YES_V-YES_HL-Mix-Mix_M-Mix_D-25-04-4 | W18 | {2025.04.30},P2 / W14-18 / SCALE / US - A18+ / EX: PUR / 7DC / {2025.05.11},VIDEO,"$2,503","36,174",2025-05-11,2025-05-26,15
13,MOE_446_2_ANMnew_MD_IMG_1x1_EN_Pills_P-016_T-01_O-YES_V-NO_HL-None_M-None_D-24-04-1 | 1C | CBO | W14 | PILLS QUIZ | {2024.04.05},PILLS QUIZ | SCALE / IMG CREATIVES / ASC+ / {2023.11.13},SHARE,"$2,439","65,069",2024-04-23,2025-05-24,396
14,MOE_OD_FB_735_Opt_VID_4x5_EN_Spray_Opt-617-6_P-001_H-None_O-NO_HL-Brunette-L_M-31_D-22-8-1_2 | LP: SPRAY QUIZ,SCALE | ASC (Top Winners 0% CC) | 7DC | US+CA+AU | EX: PUR 180 | 100% | LP: SPRAY QUIZ {2024.03.25}   Ad set,VIDEO,"$2,428","114,459",2024-08-30,2025-05-22,265
15,MOE_1151_4_LikeOzemButOpti2_TOF_RS_VID_9x16_EN_Opt-999-3_P-009_T-02_O-YES_V-YES_HL-Mix-L_M-Mix_D-25-05-1 | LP: SPRAY QUIZ,SCALE | QUIZ (US ads) | UK A18+ | 7DC | Ex: None | LP: SPRAY QUIZ,VIDEO,"$2,377","61,693",2025-05-19,2025-05-26,7
16,MOE_7_1_SoSorryNew_KK_IMG_9x16_EN_Pills_P-001_T-01_O-YES_V-NO_HL-None_M-None_D-25-01-1 | PAGE: MOE SUPPS | W2 | 2025.01.06},"MO_7_SoSorryNew_KK_BOF / SCALE / US  - W22+ / EX: PUR, WV / PAGE: MOE SUPPS / W2 / {2025.01.06}",SHARE,"$2,255","56,722",2025-01-06,2025-05-26,140
17,MOE_1028_2_PremakeOpti2_BOF_RS_VID_9x16_EN_Opt-525-1_P-009_T-02_O-YES_V-NO_HL-Blonde-L_M-299_D-25-04-4 | LP: SPRAY QUIZ,SCALE | QUIZ (US ads) | UK A18+ | 7DC | Ex: None | LP: SPRAY QUIZ,VIDEO,"$2,237","65,653",2025-05-07,2025-05-26,19
18,V5 (723_5   525_4  574_2),SCALE | RETARGETING | US+CA+AUS A18+ | 1DC | EX: Pur | LP: SPRAY QUIZ,SHARE,"$2,147","61,654",2025-05-05,2025-05-26,21
19,MOE_1152_3_LikeOzemButOpti2_TOF_RS_VID_9x16_EN_Opt-999-3_P-009_T-02_O-YES_V-YES_HL-Mix-L_M-Mix_D-25-05-1 | LP: SPRAY QUIZ,PP: 009 | Top3 | Broad A+ | A25+ | 1DC | Ex: Hot | LP: SPRAY QUIZ,VIDEO,"$2,086","67,827",2025-05-16,2025-05-26,10
20,MOE_1742_MD_IMG_1x1_EN_Pills_BF23_P-016_T-01_O-YES_V-NO_HL-None_M-None_D-23-11-3_2 | PILLS QUIZ | {2023.11.15},PILLS QUIZ | SCALE / IMG CREATIVES / ASC+ / {2023.11.13},SHARE,"$1,985","39,633",2025-05-21,2025-05-26,5
21,MOE_317_KK RS_VID_9x16_EN_Opt-1183-1_P-001_T-01_O-YES_V-NO_HL-Black-L_M-166_D-24-03-1_2 | LP: SPRAY QUIZ {2024.03.12},SCALE | ASC (Top Winners 0% CC) | 7DC | US+CA+AU | EX: PUR 180 | 100% | LP: SPRAY QUIZ {2024.03.25}   Ad set,VIDEO,"$1,884","64,049",2024-04-17,2025-05-26,404
22,"MOE_813_MD_VID_9x16_EN_Opt-489-3_P-009_O-YES_V-NO_HL-Blonde-L_M-104_D-23-06-1_1 | I thought this would only help my hair grow | If You Want to Grow Hair, Do It Right | LP: SPRAY QUIZ {2023.08.23}",SCALE | QUIZ (US ads) | UK A18+ | 7DC | Ex: None | LP: SPRAY QUIZ,VIDEO,"$1,880","97,842",2025-04-17,2025-05-26,39
