,Ad Name,Adset Name,Creative Type,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,MOE_1052_3_ALUopti2_BOF_RS_VID_9x16_EN_Opt-930-1_P-004_T-01_O-YES_V-YES_HL-Blonde-L_M-299_D-25-04-5 | LP: SPRAY QUIZ,SCALE | Prospecting | ASC-CBO | US | US A18  | 7DC | Ex: PUR WV LEAD | LP: SPRAY QUIZ,VIDEO,"$9,208","205,406",2025-05-12,2025-06-09,28
2,MOE_1052_3_ALUopti2_BOF_RS_VID_9x16_EN_Opt-930-1_P-004_T-01_O-YES_V-YES_HL-Blonde-L_M-299_D-25-04-5 | LP: SPRAY QUIZ,PP: 004 | Top3 | Broad A  | A25  | 1DC | Ex: Hot | LP: SPRAY QUIZ,VIDEO,"$6,660","197,173",2025-05-13,2025-06-04,22
3,MOE_971_3_SpicyApplovin5New_BOF_MD_VID_9x16_EN_Pills_P-001_T-01_O-YES_V-YES_HL-Mix-Mix_M-Mix_D-25-04-4 | W18 | {2025.04.30},PILLS QUIZ / SCALE / UPPER FUNNEL / ASC  / {2023.12.12},VIDEO,"$5,779","57,225",2025-05-14,2025-06-09,26
4,MOE_1052_3_ALUopti2_BOF_RS_VID_9x16_EN_Opt-930-1_P-004_T-01_O-YES_V-YES_HL-Blonde-L_M-299_D-25-04-5 | LP: SPRAY QUIZ,SCALE | QUIZ (US ads) | UK A18  | 7DC | Ex: None | LP: SPRAY QUIZ,VIDEO,"$4,225","105,166",2025-05-19,2025-06-09,21
5,MOE_630_3_CBcopycatNew_BOF_MD_VID_9x16_EN_Pills_P-001_T-01_O-YES_V-YES_HL-Blonde-L_M-143_D-25-03-2 | W12 | {2025.03.19},PILLS QUIZ / SCALE / UPPER FUNNEL / ASC  / {2023.12.12},VIDEO,"$3,887","77,649",2025-04-07,2025-06-09,63
6,MOE_787_1_SpicyApplovin3New_MD_VID_9x16_EN_Pills_P-001_T-01_O-NO_V-YES_HL-Mix-Mix_M-Mix_D-25-04-1 | W14 | {2025.04.02},PILLS QUIZ / SCALE / UPPER FUNNEL / ASC  / {2023.12.12},VIDEO,"$3,767","44,186",2025-04-10,2025-06-09,60
7,MOE_91_AAVopti_MD_IMG_1x1_EN_Opt-24-4_Pills_P-016_T-01_O-YES_V-NO_HL-None_M-None_D-24-01-4_1 | Hair Growth Insider | PILLS QUIZ | {2024.01.24},3PP / HGI-V2 / SCALE / (last touch) / US - W24-64 / EX: PUR / 1DC / {2024.02.20},SHARE,"$3,756","112,241",2024-02-20,2025-06-09,475
8,MOE_1699_2_AXLopti_RS_IMG_1x1_EN_Opt-1230-4_BF24_Code10_P-001_T-01_O-YES_V-NO_HL-None_M-None_D-24-11-2 | LP: SPRAY QUIZ,SCALE | RETARGETING | US CA AUS A18  | 1DC | EX: Pur | LP: SPRAY QUIZ,SHARE,"$3,547","99,698",2024-11-25,2025-06-09,196
9,MOE_RS_FB_464_New_VID_9x16_EN_Pills_P-009_O-NO_HL-Brunette-L_M-81_D-23-04-1_2 | I wish I’d tried these earlier! | Loved by more than 100.000 women | LP: PILLS QUIZ {2023.04.08},3PP / HGI-V1 / SCALE / US - W22  / EX: PUR / 1DC / {2023.10.06},VIDEO,"$3,494","46,405",2023-10-06,2025-06-04,607
10,MOE_1532_2_AFDopti_RS_IMG_1x1_EN_Opt-1546-3_BF24_P-001_T-01_O-YES_V-NO_HL-Blonde-L_M-None_D-24-10-5 | LP: SPRAY QUIZ,SCALE | Prospecting | ASC-CBO | US | US A18  | 7DC | Ex: PUR WV LEAD | LP: SPRAY QUIZ,SHARE,"$3,424","115,898",2025-04-08,2025-06-09,62
11,MOE_RS_FB_9_Opt_VID_9x16_EN_BF_Opt-1192-2_P-001_O-NO_HL-Blonde-L_M-03_D-22-01-1_1 |  LP: SPRAY QUIZ | {2023.08.28},SCALE | QUIZ (US ads) | UK A18  | 7DC | Ex: None | LP: SPRAY QUIZ,VIDEO,"$3,404","121,429",2025-04-17,2025-06-09,53
12,MOE_896_4_First/Then1New_GG_IMG_9x16_EN_P-001_T-01_O-NO_V-NO_HL-None_M-None_D-25-04-2 | LP: SPRAY QUIZ,SCALE | QUIZ (US ads) | UK A18  | 7DC | Ex: None | LP: SPRAY QUIZ,SHARE,"$3,279","129,330",2025-04-17,2025-06-09,53
13,V5 (723_5   525_4  574_2),SCALE | RETARGETING | US CA AUS A18  | 1DC | EX: Pur | LP: SPRAY QUIZ,SHARE,"$3,165","77,548",2025-05-05,2025-06-09,35
