,Ad Name,Adset Name,Creative Type,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,MOE_1052_3_ALUopti2_BOF_RS_VID_9x16_EN_Opt-930-1_P-004_T-01_O-YES_V-YES_HL-Blonde-L_M-299_D-25-04-5 | LP: SPRAY QUIZ,SCALE | Prospecting | ASC-CBO | US | US A18  | 7DC | Ex: PUR WV LEAD | LP: SPRAY QUIZ,VIDEO,"$12,002","329,775",2025-05-12,2025-06-25,44
2,MOE_187_4_AGWopti_RS_VID_9x16_EN_Opt-2119-1_P-001_T-01_O-YES_V-NO_HL-Dyed-L_M-135_D-25-01-4 | LP: SPRAY QUIZ,PP: 001 | Top3 | Broad A  | A25  | 1DC | Ex: Hot | LP: SPRAY QUIZ,VIDEO,"$9,495","358,692",2025-04-14,2025-06-25,72
3,MOE_1344_3_ApplovinMozartNew_MOF_MD_VID_9x16_EN_Pills_P-001_T-01_O-YES_V-YES_HL-Mix-Mix_M-Mix_D-25-06-1 / W24 / {2025.06.10},PILLS QUIZ / SCALE / UPPER FUNNEL / ASC  / {2023.12.12},VIDEO,"$7,358","101,914",2025-06-12,2025-06-25,13
4,MOE_1052_3_ALUopti2_BOF_RS_VID_9x16_EN_Opt-930-1_P-004_T-01_O-YES_V-YES_HL-Blonde-L_M-299_D-25-04-5 | LP: SPRAY QUIZ,SCALE | QUIZ (US ads) | UK A18  | 7DC | Ex: None | LP: SPRAY QUIZ,VIDEO,"$6,362","193,190",2025-05-19,2025-06-25,37
5,MOE_1532_2_AFDopti_RS_IMG_1x1_EN_Opt-1546-3_BF24_P-001_T-01_O-YES_V-NO_HL-Blonde-L_M-None_D-24-10-5 | LP: SPRAY QUIZ,SCALE | Prospecting | ASC-CBO | US | US A18  | 7DC | Ex: PUR WV LEAD | LP: SPRAY QUIZ,SHARE,"$5,208","178,527",2025-04-08,2025-06-25,78
6,MOE_RS_FB_9_Opt_VID_9x16_EN_BF_Opt-1192-2_P-001_O-NO_HL-Blonde-L_M-03_D-22-01-1_1 |  LP: SPRAY QUIZ | {2023.08.28},SCALE | QUIZ (US ads) | UK A18  | 7DC | Ex: None | LP: SPRAY QUIZ,VIDEO,"$4,897","181,677",2025-04-17,2025-06-25,69
7,MOE_863_4_nothingtodoOpti2_BOF_RS_VID_9x16_EN_Opt-744-1_P-017_T-13_O-YES_V-NO_HL-Mix-L_M-Mix_D-25-04-2 | LP: SPRAY QUIZ,PP: 017 | Top3 | Broad A  | A25  | 1DC | Ex: Hot | LP: SPRAY QUIZ,VIDEO,"$4,664","222,817",2025-04-29,2025-06-25,57
8,MOE_971_3_SpicyApplovin5New_BOF_MD_VID_9x16_EN_Pills_P-001_T-01_O-YES_V-YES_HL-Mix-Mix_M-Mix_D-25-04-4 | W18 | {2025.04.30},PILLS QUIZ / SCALE / UPPER FUNNEL / ASC  / {2023.12.12},VIDEO,"$4,041","52,469",2025-05-14,2025-06-25,42
9,MOE_91_AAVopti_MD_IMG_1x1_EN_Opt-24-4_Pills_P-016_T-01_O-YES_V-NO_HL-None_M-None_D-24-01-4_1 | Hair Growth Insider | PILLS QUIZ | {2024.01.24},3PP / HGI-V2 / SCALE / (last touch) / US - W24-64 / EX: PUR / 1DC / {2024.02.20},SHARE,"$3,927","128,852",2024-02-20,2025-06-25,491
10,V5 (723_5   525_4  574_2),SCALE | RETARGETING | US CA AUS A18  | 1DC | EX: Pur | LP: SPRAY QUIZ,SHARE,"$3,870","118,342",2025-05-05,2025-06-25,51
