,Ad Name,Adset Name,Creative Type,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,BI_F-WL1584_2025_FB_IV_W3-1_937_IB_VID_VL-15s_9x16_New_HE-2688_BC-2028_CTA-1259_P-GLP1_M-TRACE_C-dosdonts_S-202_V01 || A31 || B119 || C1 || 2025.03.18,Bioma_ASC_LastTouch_1C_2025.02.17,VIDEO,"$27,478","637,765",2025-03-18,2025-04-21,34
2,BI_F-WL1498_2025_IV_W2-2_FB_905_GR_VID_VL-45s_9x16_New_HE-2618_BC-1944_CTA-1231_P-CD_M-TRACEwHUSBAND_White_C-livenads_S-257_V13 || A1 || B119 || C1 || D1 || 2025.02.25,Bioma_VariousLLA_7C_2025.02.21,VIDEO,"$16,719","476,022",2025-02-25,2025-04-21,55
3,BI_F-WL1926_2025_AL_W03-4_FB_982_ER_IMG_1x1_New_BC-2295_P-GLP1_C-article_V01 || A31 || B119 || C117 || 2025.04.04,Bioma_Kilo_Products_1%_LLA_7C_2025.02.18,SHARE,"$15,469","423,831",2025-04-05,2025-04-21,16
4,BI_F-WL0707_2025_AL_W2-3_FB_918_GR_VID_VL-25s_9x16_Opti_757_HE-2872_BC-863_M-AM_S-1_V09 || A1 || B81 || C1 || 2025.03.18,Bioma_ASC_1C_Videos_Only_2025.02.22,VIDEO,"$15,413","287,509",2025-03-18,2025-04-21,34
5,BI_F-WL0043_2025_AL_W2-4_FB_930_VK_VID_VL-10s_9x16_Opti_641_HE-3009_BC-2303_CTA-1206_P-Ozempic_S-Limited_S-15_V03 || A1 || B81 || C1 || 2025.03.12,Bioma_InterestsStack_7C_2025.02.18,VIDEO,"$8,608","280,098",2025-03-12,2025-04-21,40
6,BI_F-WL0798_2025_IV_W4-3_FB_1028_VK_IMG_1x1_Opti_797_HE-3290_BC-2560_CTA-1493_S-easter_V01 || A129 || B132 || C127,Broad || WL 60% - BB2881 || 1C || 2025.04.17,SHARE,"$5,504","239,793",2025-04-17,2025-04-21,4
7,BI_F-WL1555_2025_JG_W2-3_FB_917_GR_VID_VL-25s_9x16_New_HE-2663_BC-2007_CTA-1248_M-EE_White_C-MoerieAds_S-3_V05 || A1 || B81 || C1 || 2025.03.04,Bioma_ASC_CC_1C_2025.02.22,VIDEO,"$5,222","119,868",2025-03-04,2025-04-21,48
8,BI_F-WL2087_2025_VK_W4-2_FB_1019_MS_VID_VL-45s_9x16_Opti_361_HE-571_BC-228_CTA-20_M-SAMI_C-ActorTest_S-Limited_S-5_V01 || A31 || B119 || C1 || 2025.04.16,Bioma_ASC_LastTouch_CC_1C_2025.03.28,VIDEO,"$4,449","122,547",2025-04-16,2025-04-20,4
9,BI_F-WL1569_2025_JG_W3-2_FB_957_VK_IMG_9x16_Opti_902_HE-2537_M-NONE_LightBlue_V03 || A31 || B119 || C1,P2PSANDBOX_ASC_SandboxBAU_1C_2025.03.14,SHARE,"$4,333","142,203",2025-03-14,2025-04-21,38
10,BI_F-WL0798_2025_IV_W4-3_FB_1033_ER_IMG_1x1_Opti_HE-3290_BC-2560_CTA-1493_Black_C-RMR_S-Easter_V01 || A129 || B133 || C128,BROAD_Bioma_7C_2025.02.12,SHARE,"$4,205","130,808",2025-04-18,2025-04-21,3
