,Ad Name,Adset Name,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
105,HB_CHUB-AS_FB_557_F-VID_R-9x16_EN_25w14_P-MC_I-NewUGCVideos_itr-6 | H-R0-3 | B-R21-1 | LP: quiz.herbodhi,US | W | 40-65+ | 7c | Broad | Regular | 557_NewUGCVideos #2 | W14,$104,"2,437",2025-04-04,2025-04-13,9
106,HB_VV_FB_536_F-IMG_R-1x1_EN_25w12_P-MC_ritual_Itr-2 | H-R0-1 | B-R21-2 | LP: quiz.herbodhi,US | W | 40-65+ | 7c | Broad | Regular | 536_ritual | W15,$104,"2,693",2025-04-08,2025-04-10,2
107,HB_BR_FB_103_F-IMG_R-1x1_EN_24WK33_P-MC_I-blog_blueprint_H-B9-6_B-B9-5_Itr-1 | H-B9-3 | H-B9-5 | LP: blog_blueprint,US | W | 40-65+ | 1c | Broad | CC $90 | 02.05,$103,"1,911",2025-01-13,2025-04-14,91
108,HB_CHUB-AS_FB_553_F-IMG_R-1x1_EN_25w14_P-MC_I-EasterEgg_itr-1 | H-R0-1 | B-R5-2 | LP: quiz.herbodhi,US | W | 40-65+ | 7c | Menopause Reset FB Page | 02.28,$100,"3,187",2025-04-08,2025-04-14,6
109,HB_AK_FB_573_F-IMG_R-1x1_EN_25w15_P-HS_pcos_Itr-1 | H-R0-3 | B-R19-3 | LP: hormonal-support,US | W | 40-65+ | 7c | Broad | Hormonal-Support | 573_pcos | W15,$100,"3,658",2025-04-12,2025-04-14,2
110,HB_AK_FB_525_F-IMG_R-1x1_EN_25w12_P-MC_firstthen_Itr-3 | H-R0-7 | B-R0-8 | LP: quiz.herbodhi,US | W | 40-65+ | 1c | Broad | CC $105 | 11.18,$99,"2,458",2025-03-25,2025-04-14,20
111,HB_AK_FB_520_F-IMG_R-1x1_EN_25w11_P-MC_ashwaghanda_Itr-3 | H-R0-1 | B-R21-1 | LP: quiz.herbodhi,US | All | 25-65+ | 1c | Broad | 03.14v2,$99,"4,226",2025-04-07,2025-04-12,5
112,HB_VV_FB_558_F-VID_R-9x16_EN_25w13_P-HS_Newtest_Itr-6 | H-R0-1 | B-R19-1 | LP: hormonal-support,US | W | 40-65+ | 7c | Broad | Hormonal-Support | 558_Newtest #2 | W15,$98,"2,584",2025-04-08,2025-04-10,2
113,HB_VV_FB_535_F-IMG_R-1x1_EN_25w12_P-HS_newideas_Itr-1 | H-R0-10 | B-R19-1 | LP: hormonal-support,US | W | 40-65+ | 7c | Broad | Hormonal-Support | 535_newideas | W15,$98,"2,648",2025-04-08,2025-04-14,6
114,HB_80_MagazineLayout_IMG_1x1_2 | Up to 60% OFF | Tired of menopause weight gain | LP: herbodhi,US | W | 40-65+ | 1c | Broad | CC $90 | 02.05,$96,"2,314",2025-02-23,2025-04-14,50
115,HB_VV_FB_563_F-IMG_R-9x16_EN_25w13_P-MC_priceincrease_Itr-1 | H-R0-11 | B-R0-10 | LP: quiz.herbodhi,US | W | 40-65+ | 7c | Broad | Regular | 563_priceincrease | W15,$95,"2,024",2025-04-09,2025-04-14,5
116,HB_VV_FB_323_F-IMG_R-1x1_EN_24WK51_P-MC_I-announcement_Itr-1 | H-R0-5 | B-R13-1 | LP: herbodhi,US | W | 40-65+ | 1c | Broad | CC $100 | 09.06,$90,"1,853",2024-12-24,2025-04-14,111
117,HB_AK_FB_510_F-IMG_R-1x1_EN_25w11_P-MC_retro_Itr-3 | H-R0-9 | B-R0-13 | LP: quiz.herbodhi,US | W | 40-65+ | 7c | The Golden Girls | 03.21,$90,"2,131",2025-03-21,2025-04-08,18
118,HB_VV_FB_558_F-IMG_R-1x1_EN_25w13_P-HS_Newtest_Itr-2 | H-R0-3 | B-R19-3 | LP: hormonal-support,US | W | 40-65+ | 7c | Broad | Hormonal-Support | 558_Newtest | W15,$87,"2,423",2025-04-08,2025-04-11,3
119,HB_CHUB-KZ_FB_564_F-IMG_R-1x1_EN_25w15_P-MC_I-EasterAds_itr-3 | H-R0-1 | B-R24-1 | LP: quiz.herbodhi,US | W | 40-65+ | 7c | Broad | Regular | 564_EasterAds | W15,$87,"1,901",2025-04-11,2025-04-14,3
120,HB_AK_FB_566_F-IMG_R-1x1_EN_25w15_P-MC_blog_parasite_cv_en_Itr-1 | H-B16-4 | B-B16-11 | LP: blog_parasite,US | W | 40-65+ | 7c | Broad | Advertorial | 566_blog_parasite_cv_en | W15,$86,"3,802",2025-04-10,2025-04-14,4
