,Ad Name,Adset Name,Creative Type,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,BBX_2024_jul_W31-TV_B2_093_FB_IMG_1x1_itr_fat3d_v3 | 462237806735805 - Copy,US | BROAD | ALL | 1dc | OLD ADS 2 | 1.6,SHARE,"$1,317","34,431",2025-01-06,2025-01-24,18
2,BB_2024_Apr_W17-TV_B2_067_FB_IMG_1x1_ITR_H3_v2 - Copy 2,ASC #14 || 24.12.19 Ad set,SHARE,"$1,044","16,320",2024-12-19,2025-01-23,35
3,BBX_2025_Jan_W03_TV_B1_136_FB_IMG_1x1_New_BellyFatRemoval_2,CTEST 1.14 | W3 | B | BBX_2025_Jan_W03_TV_B1_136_FB_IMG_1x1_New_BellyFatRemoval_1,SHARE,$657,"14,510",2025-01-15,2025-01-27,12
4,053_BB_TV_a-movie_Iteraionof_051_Kevin_2 | 368573906102196,CC110 || BEST ADS || 7dc || 24.6.3,SHARE,$551,"24,336",2024-06-03,2025-01-28,239
5,BBX_2025_Jan_W04_TV_B1_137_FB_VID_9x16_itr_Script1+script3_1,CTEST 1.21 | W4 | B | BBX_2025_Jan_W04_TV_B1_137_FB_VID_9x16_itr_Script1+script3_1,VIDEO,$537,"7,756",2025-01-21,2025-02-01,11
6,BB_2024_Apr_W14-TV_FB_IMG_1x1_New_Stock_H-6_Sachet_In_Dust_v3 | 386294247663495 - Copy,CC110 || BEST ADS || 7dc || 24.6.3,SHARE,$434,"11,969",2024-12-09,2025-01-23,45
7,053_BB_TV_a-movie_Iteraionof_051_Kevin_2 | 368573906102196 - Copy,ASC #14 || 24.12.19 Ad set,SHARE,$425,"15,025",2025-01-02,2025-01-23,21
8,BB_2024_Apr_W14-TV_FB_IMG_1x1_New_Stock_H-6_Sachet_In_Dust_v3 | 386294247663495,CC110 || BEST ADS || 7dc || 24.6.3,SHARE,$422,"10,022",2024-06-03,2025-02-11,253
9,BBX_2024_NOV_W47-TV_Mon_122_FB_IMG_1x1_OBVIITeration_1 - Copy 2,ASC+ || BEST ADS 25.01.23,SHARE,$409,"7,195",2025-01-23,2025-01-27,4
10,BBX_2025_Jan_W04_TV_B1_137_FB_IMG_1x1_itr_LOSE_3,CTEST 1.21 | W4 | B | BBX_2025_Jan_W04_TV_B1_137_FB_VID_4x5_itr_LOSE_1,SHARE,$405,"6,427",2025-01-21,2025-01-27,6
11,BBX_2025_Jan_W04_TV_B2_138_FB_IMG_1x1_new_carousel_A,CTEST 1.23 | W4 | B | BBX_2025_Jan_W04_TV_B2_138_FB_IMG_1x1_new_carousel_A,SHARE,$402,"9,653",2025-01-23,2025-01-29,6
12,BBX_2025_Jan_W04_TV_B2_138_FB_IMG_1x1_new_ManBoobs_Gone_3,CTEST 1.23 | W4 | B | BBX_2025_Jan_W04_TV_B2_138_FB_IMG_1x1_new_ManBoobs_Gone_1,SHARE,$399,"13,793",2025-01-23,2025-01-29,6
13,BB_2024_May_W22-TV_B2_075_FB_IMG_1x1_New_Prana_Iteration_V3 | 421929340766652 - Copy,ASC+ || BEST ADS 25.01.23,SHARE,$382,"5,488",2025-01-23,2025-01-28,5
14,BBX_2025_Jan_W04_TV_B2_138_FB_IMG_1x1_new_WhatHappens_1,CTEST 1.23 | W4 | B | BBX_2025_Jan_W04_TV_B2_138_FB_IMG_1x1_new_WhatHappens_1,SHARE,$377,"7,586",2025-01-23,2025-01-31,8
15,BBX_2025_Jan_W04_TV_B2_138_FB_IMG_1x1_ITR_Disappear_1,CTEST 1.23 | W4 | B | BBX_2025_Jan_W04_TV_B2_138_FB_IMG_1x1_ITR_Disappear_1,SHARE,$372,"6,809",2025-01-23,2025-01-31,8
16,059_BB_TV_IMG_1x1_Iteration-of_055_1 | 381096284849958,ASC+ || BEST ADS 25.01.23,SHARE,$364,"9,943",2025-01-24,2025-01-26,2
17,BB_2024_May_W22-TV_B2_075_FB_IMG_1x1_New_AnotherFad copy 4 | 421929547433298 - Copy,CC110 || BEST ADS || 7dc || 24.6.3,SHARE,$342,"7,968",2024-08-12,2025-01-28,169
18,BBX_2025_Jan_W04_TV_B2_138_FB_IMG_1x1_ITR_Prana_1,CTEST 1.23 | W4 | B | BBX_2025_Jan_W04_TV_B2_138_FB_IMG_1x1_ITR_Prana_1,SHARE,$307,"7,731",2025-01-23,2025-01-26,3
19,BBX_2025_Jan_W04_TV_B2_138_FB_IMG_1x1_ITR_Pouring_1,CTEST 1.23 | W4 | B | BBX_2025_Jan_W04_TV_B2_138_FB_IMG_1x1_ITR_Pouring_1,SHARE,$306,"6,299",2025-01-23,2025-01-26,3
20,Unguided1,CTEST 1.23 | W4 | B | BBX_2025_Jan_W04_TV_B2_138_FB_IMG_1x1_new_Scare_1,SHARE,$296,"4,666",2025-01-23,2025-02-03,11
21,BBX_2025_Jan_W04_TV_B2_138_FB_IMG_1x1_ITR_FBPOST_avatar_1,CTEST 1.23 | W4 | B | BBX_2025_Jan_W04_TV_B2_138_FB_IMG_1x1_ITR_FBPOST_avatar_1,SHARE,$280,"6,649",2025-01-23,2025-01-26,3
22,BB_2024_Apr_W17-TV_B2_067_FB_IMG_1x1_ITR_H3_v2 - Copy 2,CC110 || BEST ADS || 7dc || 25.1.2,SHARE,$245,"4,809",2025-01-02,2025-02-06,35
