,Ad Name,Adset Name,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
78,053_BB_TV_a-movie_Iteraionof_051_Kevin_2 | 368573906102196 - Copy,CC110 || BEST ADS || 7dc || OLD || 18.2.25,$72,"1,867",2025-02-18,2025-04-14,55
79,BBX_192_25W12_AK_FB_IMG_1x1_ITR_UGC_egg_Itr-2,CTEST 3.18 | W12 | B | BBX_192_25W12_AK_FB_IMG_1x1_ITR_UGC_egg_Itr-1,$70,"1,490",2025-03-18,2025-04-14,27
80,BBX_200_25W13_AK_FB_VID_9x16_ITR_UGC_andrew_Itr-1 - Copy,M25-64 || ALL || NEW || 1.04,$69,"1,404",2025-04-01,2025-04-14,13
81,BBX_154_25W8_AK_FB_IMG_1x1_ITR_UGC_blackpost_Itr-1 - Copy,CC110 || BEST ADS || 7dc || MIX W8/9 || 18.3.25,$68,"1,341",2025-03-18,2025-04-14,27
82,BB_2024_Apr_W14-TV_FB_IMG_1x1_New_Stock_H-6_Sachet_In_Dust_v3 | 386294247663495 - Copy,CC110 || BEST ADS || 7dc || 25.1.24,$67,"1,514",2025-01-24,2025-04-14,80
83,BBX_212_25W15_AK_FB_IMG_1x1_ITR_UGC_freezesale_Itr-1,CTEST 4.09 | W15 | B | BBX_212_25W15_AK_FB_IMG_1x1_ITR_UGC_freezesale_Itr-1,$64,"1,216",2025-04-09,2025-04-14,5
84,BBX_211_25W15_AK_FB_IMG_1x1_ITR_UGC_bigbox_Itr-2,CTEST 4.09 | W15 | B | BBX_211_25W15_AK_FB_IMG_1x1_ITR_UGC_bigbox_Itr-1,$62,"1,309",2025-04-10,2025-04-14,4
85,BBX_153_25W8_AK_FB_IMG_1x1_ITR_UGC_obvi_Itr-3 - Copy,CC110 || BEST ADS || 7dc || MIX W8/9 || 18.3.25,$55,767,2025-03-18,2025-04-14,27
86,BBX_212_25W15_AK_FB_IMG_1x1_ITR_UGC_freezesale_Itr-3,CTEST 4.09 | W15 | B | BBX_212_25W15_AK_FB_IMG_1x1_ITR_UGC_freezesale_Itr-1,$54,"1,089",2025-04-09,2025-04-14,5
87,BBX_219_25W15_AK_FB_IMG_1x1_ITR_Product_tarrifs_Itr-2,CTEST 4.10 | W15 | B | BBX_219_25W15_AK_FB_IMG_1x1_ITR_Product_tarrifs_Itr-1,$51,971,2025-04-10,2025-04-11,1
88,BBX_25W8_CRO_FB_VID_9x16_NEW_UGC_billo-FM_Itr-380588 - Copy,CC110 || BEST ADS || 7dc || MIX W8/9 || 18.3.25,$50,607,2025-03-18,2025-04-14,27
89,BB_2024_Apr_W18-_069_TV_B2_FB_AI_1x1_New_With_Boxes-63 | 406861932273393 - Copy,CC110 || BEST ADS || 7dc || OLD || 18.2.25,$49,869,2025-02-18,2025-04-14,55
90,BBX_158_25W8_AK_FB_IMG_1x1_ITR_UGC_fbpost_Itr-1 - Copy,CC110 || BEST ADS || 7dc || MIX W8/9 || 18.3.25,$49,724,2025-03-18,2025-04-13,26
91,BBX_180_25W11_AK_FB_IMG_1x1_NEW_UGC_body_Itr-1 - Copy,25-64 || ALL || NEW || 7.04,$45,604,2025-04-07,2025-04-14,7
92,Script 10 _ Energy,CTEST 4.04 | W14 | B | Script 8 _ Energy,$45,582,2025-04-04,2025-04-07,3
93,BB_2024_Apr_W18-_069_TV_B2_FB_AI_1x1_New_With_Boxes-82 | 406860868940166 - Copy,CC110 || BEST ADS || 7dc || OLD || 18.2.25,$44,648,2025-02-18,2025-04-14,55
94,BBX_199_25W13_AK_FB_IMG_1x1_ITR_UGC_bodyback_Itr-3,CTEST 3.27 | W13 | B | BBX_199_25W13_AK_FB_IMG_1x1_ITR_UGC_bodyback_Itr-1,$38,639,2025-03-27,2025-04-14,18
95,BBX_209_25W15_AK_FB_VID_9x16_ITR_UGC_nikki2_Itr-3,CTEST 4.09 | W15 | B | BBX_209_25W15_AK_FB_VID_9x16_ITR_UGC_nikki2_Itr-1,$35,432,2025-04-09,2025-04-14,5
96,BBX_159_25W8_AK_FB_IMG_1x1_ITR_UGC_fbpost_Itr-3 - Copy,CC110 || BEST ADS || 7dc || MIX W8/9 || 18.3.25,$34,615,2025-03-18,2025-04-14,27
97,BBX_200_25W13_AK_FB_VID_9x16_ITR_UGC_andrew_Itr-2 - Copy 2,US | BROAD | ALL | 1dc | 3MIX-2 | 04.07,$29,710,2025-04-07,2025-04-09,2
98,BBX_216_25W15_AK_FB_IMG_1x1_ITR_UGC_manboobs_Itr-3,CTEST 4.09 | W15 | B | BBX_216_25W15_AK_FB_IMG_1x1_ITR_UGC_manboobs_Itr-1,$29,648,2025-04-09,2025-04-14,5
99,BB_2024_May_W22-TV_B2_075_FB_IMG_1x1_New_AnotherFad copy 4 | 421929547433298 - Copy 3,W25-64 || ALL || Women focused ads,$28,661,2025-02-20,2025-04-14,53
100,BBX_140_25W6_AK_FB_IMG_1x1_NEW_UGC_Fbpost_Itr-3 - Copy 3,W25-64 || ALL || Women focused ads,$27,456,2025-02-20,2025-04-14,53
101,Script 7 _ Metabolism,CTEST 4.04 | W14 | B | Script 4 _ Metabolism,$24,289,2025-04-04,2025-04-07,3
102,Script 2 _ Fat Loss,CTEST 4.04 | W14 | B | Script 1 _ Fat Loss,$22,338,2025-04-04,2025-04-07,3
103,BBX_CHUB-AA_FB_178_F-IMG_R-1x1_EN_25WK10_P-box_I-Freeze-sale_Itr-3 - Copy,W25-64 || ALL || NEW || 25.03,$19,259,2025-03-25,2025-04-07,13
104,BBX_164_25W8_AK_FB_VID_9x16_NEW_UGC_ugcblond_Itr-1 - Copy,CC110 || BEST ADS || 7dc || MIX W8/9 || 18.3.25,$14,331,2025-03-18,2025-04-11,24
105,BBX_185_25W11_AK_FB_VID_1x1_NEW_UGC_fasting_Itr-3 - Copy,W25-64 || ALL || NEW || 25.03,$13,210,2025-03-25,2025-04-07,13
106,BB_Orange_2024_Apr_W16_065_B2-TV_FB_IMG_1x1_ITR_Disappear_v2 | 395260926766827 - Copy,CC110 || BEST ADS || 7dc || 25.1.24,$13,248,2025-01-24,2025-04-13,79
107,BB_2024_Jun_W27-TV_B1_084_FB_IMG_1x1_itr_shortcut_v2 | 442832042009715 - Copy 3,CC110 || BEST ADS || 7dc || OLD || 18.2.25,$12,241,2025-02-18,2025-04-14,55
108,Script 6 _ Metabolism,CTEST 4.04 | W14 | B | Script 4 _ Metabolism,$11,183,2025-04-04,2025-04-08,4
109,BBX_199_25W13_AK_FB_IMG_1x1_ITR_UGC_bodyback_Itr-2,CTEST 3.27 | W13 | B | BBX_199_25W13_AK_FB_IMG_1x1_ITR_UGC_bodyback_Itr-1,$11,209,2025-03-27,2025-04-14,18
110,Script 4 _ Metabolism,CTEST 4.04 | W14 | B | Script 4 _ Metabolism,$10,113,2025-04-04,2025-04-07,3
111,BBX_141_25W6_AK_FB_IMG_1x1_NEW_UGC_blackpost_Itr-1 - Copy 2,W25-64 || ALL || Women focused ads,$9,229,2025-02-20,2025-04-14,53
112,BBX_158_25W8_AK_FB_IMG_1x1_ITR_UGC_fbpost_Itr-2 - Copy,25-64 || ALL || NEW || 7.04,$8,161,2025-04-07,2025-04-14,7
113,BBX_180_25W11_AK_FB_IMG_1x1_NEW_UGC_body_Itr-1 - Copy,W25-64 || ALL || NEW || 25.03,$8,136,2025-03-25,2025-04-07,13
114,BBX_179_25W10_AK_FB_IMG_1x1_NEW_UGC_fbpost_Itr-2 - Copy,25-64 || ALL || NEW || 7.04,$7,191,2025-04-07,2025-04-14,7
115,BBX_25W8_CRO_FB_VID_9x16_NEW_UGC_billo-FM_Itr-380588 - Copy,25-64 || ALL || NEW || 7.04,$7,109,2025-04-07,2025-04-14,7
116,BBX_2025_Jan_W05_TV_B1_138_FB_IMG_1x1_new_goinggoneboobs_1 - Copy 4,M25-64 || ALL || NEW || 1.04,$6,184,2025-04-01,2025-04-14,13
117,BB_DB_Weigtloss_Product - Copy 3,M25-64 || ALL || NEW || 1.04,$6,103,2025-04-01,2025-04-14,13
118,BBX_165_25W9_AK_FB_IMG_1x1_NEW_UGC_bodybackground_Itr-2 - Copy,W25-64 || ALL || NEW || 25.03,$6,52,2025-03-25,2025-04-07,13
119,BBX_CHUB-AS_FB_165_F-IMG_R-1x1_EN_25WK09_P-none_I-PuffyFace_Itr-3 - Copy 2,CC110 || BEST ADS || 7dc || MIX W8/9 || 18.3.25,$4,102,2025-03-18,2025-04-14,27
120,BBX_145_25W6_AK_FB_VID_9x16_NEW_UGC_UGCblond_Itr-2 - Copy,W25-64 || ALL || NEW || 25.03,$3,49,2025-03-25,2025-04-07,13
121,BBX_200_25W13_AK_FB_VID_9x16_ITR_UGC_andrew_Itr-2 - Copy,M25-64 || ALL || NEW || 1.04,$3,66,2025-04-01,2025-04-14,13
122,059_BB_TV_IMG_1x1_Iteration-of_050_Copy | 395261006766819 - Copy,CC110 || BEST ADS || 7dc || 25.1.24,$3,69,2025-01-24,2025-04-14,80
123,BBX_170_25W9_AK_FB_IMG_1x1_NEW_UGC_fbpostmix_Itr-1 - Copy 2,CC110 || BEST ADS || 7dc || MIX W8/9 || 18.3.25,$3,42,2025-03-18,2025-04-10,23
124,BBX_25W6_OT_FB_VID_9x16_NEW_UGC_Anna-B_Itr-377145 - Copy,US | LAL 1% Klaviyo customer list | ALL | 7dc |  MIX 2 | 1.04,$2,48,2025-04-01,2025-04-14,13
125,BBX_170_25W9_AK_FB_IMG_1x1_NEW_UGC_fbpostmix_Itr-1 - Copy,CC110 || BEST ADS || 7dc || MIX W8/9 || 18.3.25,$2,49,2025-03-18,2025-04-10,23
126,BB_2024_Apr_W18-_069_TV_B2_FB_AI_1x1_New_With_Boxes-82 | 406860868940166 - Copy,CC110 || BEST ADS || 7dc || 25.1.24,$2,43,2025-01-24,2025-04-09,75
127,BBX_CHUB-AA_FB_178_F-IMG_R-1x1_EN_25WK10_P-box_I-Freeze-sale_Itr-1,CTEST 3.13 | W11 | B | BBX_CHUB-AA_FB_178_F-IMG_R-1x1_EN_25WK10_P-box_I-Freeze-sale_Itr-1,$2,40,2025-03-13,2025-04-13,31
128,BBX_25W6_OT_FB_VID_9x16_NEW_UGC_Anna-B_Itr-377145 - Copy 2,W25-64 || ALL || Women focused ads,$2,22,2025-02-21,2025-04-14,52
129,BBX_2025_Jan_W1-AM_FB_VID_9x16_NEW_UGC_script-read3 - Copy 2,W25-64 || ALL || Women focused ads,$2,14,2025-02-21,2025-04-14,52
130,BBX_164_25W8_AK_FB_VID_9x16_NEW_UGC_ugcblond_Itr-3 - Copy,CC110 || BEST ADS || 7dc || MIX W8/9 || 18.3.25,$2,43,2025-03-18,2025-04-13,26
131,BBX_200_25W13_AK_FB_VID_9x16_ITR_UGC_andrew_Itr-3,CTEST 3.27 | W13 | B | BBX_200_25W13_AK_FB_VID_9x16_ITR_UGC_andrew_Itr-1,$2,55,2025-03-27,2025-04-13,17
132,054_BB_TV_WhatIorder_It_4 | 371445219148398 - Copy,CC110 || BEST ADS || 7dc || OLD || 18.2.25,$1,23,2025-02-18,2025-04-14,55
133,BBX_CHUB-AS_FB_166_F-VID_R-9x16_EN_25WK09_P-none_I-LookingFor_Itr-1 - Copy 2,CC110 || BEST ADS || 7dc || MIX W8/9 || 18.3.25,$1,22,2025-03-18,2025-04-10,23
134,053_BB_TV_a-movie_Iteraionof_051_Kevin_2 | 368573906102196 - Copy,CC110 || BEST ADS || 7dc || 25.1.24,$1,22,2025-01-24,2025-04-09,75
135,BBX_165_25W9_AK_FB_IMG_1x1_NEW_UGC_bodybackground_Itr-1,CTEST 2.26 | W9 | B | BBX_165_25W9_AK_FB_IMG_1x1_NEW_UGC_bodybackground_Itr-1,$1,13,2025-02-26,2025-04-10,43
136,054_BB_TV_WhatIorder_It_4 | 371445219148398 - Copy,CC110 || BEST ADS || 7dc || 25.1.24,$0,10,2025-01-24,2025-04-14,80
137,BB_2024_Jun_W27-TV_B1_084_FB_IMG_1x1_itr_shortcut_v2 | 442832042009715 - Copy 3,CC110 || BEST ADS || 7dc || 25.1.24,$0,9,2025-01-24,2025-04-09,75
138,BBX_165_25W9_AK_FB_IMG_1x1_NEW_UGC_bodybackground_Itr-3,CTEST 2.26 | W9 | B | BBX_165_25W9_AK_FB_IMG_1x1_NEW_UGC_bodybackground_Itr-1,$0,10,2025-02-26,2025-04-14,47
139,BBX_CHUB-AS_FB_166_F-VID_R-9x16_EN_25WK09_P-none_I-LookingFor_Itr-1 - Copy,CC110 || BEST ADS || 7dc || MIX W8/9 || 18.3.25,$0,4,2025-03-18,2025-04-08,21
140,BBX_158_25W8_AK_FB_IMG_1x1_ITR_UGC_fbpost_Itr-2 - Copy,W25-64 || ALL || NEW || 25.03,$0,6,2025-03-25,2025-04-07,13
141,BBX_CHUB-AS_FB_165_F-IMG_R-1x1_EN_25WK09_P-none_I-PuffyFace_Itr-3 - Copy,CC110 || BEST ADS || 7dc || MIX W8/9 || 18.3.25,$0,6,2025-03-18,2025-04-09,22
142,BBX_25W8_CRO_FB_VID_9x16_NEW_UGC_billo-FM_Itr-380588 - Copy,W25-64 || ALL || NEW || 25.03,$0,2,2025-03-25,2025-04-07,13
143,BBX_161_25W8_AK_FB_IMG_1x1_ITR_UGC_ramadan_Itr-3 - Copy,CC110 || BEST ADS || 7dc || MIX W8/9 || 18.3.25,$0,2,2025-03-18,2025-04-09,22
144,BBX_179_25W10_AK_FB_IMG_1x1_NEW_UGC_fbpost_Itr-2 - Copy,W25-64 || ALL || NEW || 25.03,$0,3,2025-03-25,2025-04-07,13
145,BB_2024_Jun_W25-TV_B1_080_FB_IMG_1x1_NEW_Butter_Burner_v2 | 433780022914917 - Copy 2,CC110 || BEST ADS || 7dc || 25.1.24,$0,1,2025-01-24,2025-04-07,73
