,Ad Name,Adset Name,Creative Type,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,BBX_145_25W6_AK_FB_VID_9x16_NEW_UGC_UGCblond_Itr-1-3 - Copy,US | BROAD | ALL | 1dc | UGC only | 2.12,VIDEO,"$2,157","44,654",2025-02-20,2025-03-03,11
2,059_BB_TV_IMG_1x1_Iteration-of_OGsachets_Disappear | 381096238183296 - Copy 2,US | BROAD | ALL | 1dc | 3MIX-2 | 2.25,SHARE,"$1,908","59,105",2025-02-25,2025-03-03,6
3,059_BB_TV_IMG_1x1_Iteration-of_OGsachets_Disappear | 381096238183296,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.12,SHARE,"$1,745","48,268",2025-02-12,2025-03-03,19
4,BBX_2024_NOV_W47-TV_Mon_122_FB_IMG_1x1_OBVIITeration_1 - Copy 3,25-64 || ALL || Women focused ads,SHARE,"$1,627","31,252",2025-02-20,2025-03-01,9
5,BB_DB_NewYear_steps - Copy 2,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.12,SHARE,"$1,436","34,531",2025-02-12,2025-03-03,19
6,BBX_145_25W6_AK_FB_VID_9x16_NEW_UGC_UGCblond_Itr-1-3 - Copy,US | BROAD | ALL | 1dc | 3MIX-1 | 2.26,VIDEO,"$1,422","29,728",2025-02-26,2025-03-02,4
7,BB_2024_May_W20-TV_B1_071_FB_IMG_1x1_New_FBpost_with_BG_v1 | 411463955146524 - Copy,CC110 || BEST ADS || 7dc || OLD || 18.2.25,SHARE,$891,"27,757",2025-02-18,2025-03-26,36
8,BBX_2024_sep_W36-TV_B2_101_FB_IMG_1x1_new_orgasm_v3 - Copy 2,W25-64 || ALL || Women focused ads,SHARE,$871,"13,278",2025-02-20,2025-03-16,24
9,BBX_25W8_CRO_FB_VID_9x16_NEW_UGC_billo-FM_Itr-380588,CTEST 2.20 | W8 | B | Cody Winn 2,VIDEO,$859,"11,869",2025-02-20,2025-03-10,18
10,BBX_158_25W8_AK_FB_IMG_1x1_ITR_UGC_fbpost_Itr-1,CTEST 2.19 | W8 | B | BBX_158_25W8_AK_FB_IMG_1x1_ITR_UGC_fbpost_Itr-1,SHARE,$823,"17,544",2025-02-19,2025-03-10,19
11,BBX_145_25W6_AK_FB_VID_9x16_NEW_UGC_UGCblond_Itr-1-3,CTEST 2.12 | W7 | B | BBX_145_25W6_AK_FB_VID_9x16_NEW_UGC_UGCblond_Itr-1,VIDEO,$811,"10,457",2025-02-12,2025-03-04,20
12,BBX_25W6_OT_FB_VID_9x16_NEW_UGC_Anna-B_Itr-377145,CTEST 2.07 | W6 | B | Anna B 1,VIDEO,$809,"8,916",2025-02-07,2025-03-02,23
13,BBX_159_25W8_AK_FB_IMG_1x1_ITR_UGC_fbpost_Itr-3,CTEST 2.19 | W8 | B | BBX_159_25W8_AK_FB_IMG_1x1_ITR_UGC_fbpost_Itr-1,SHARE,$806,"16,565",2025-02-19,2025-03-03,12
14,BBX_145_25W6_AK_FB_VID_9x16_NEW_UGC_UGCblond_Itr-1-3 - Copy,US | BROAD | ALL | 1dc | UGC only | 2.18,VIDEO,$770,"13,806",2025-02-18,2025-02-26,8
15,BBX_163_25W8_AK_FB_IMG_1x1_ITR_UGC_obvi_Itr-2,CTEST 2.20 | W8 | B | BBX_163_25W8_AK_FB_IMG_1x1_ITR_UGC_obvi_Itr-1,SHARE,$733,"16,825",2025-02-20,2025-03-12,20
16,BBX_140_25W6_AK_FB_IMG_1x1_NEW_UGC_Fbpost_Itr-3 - Copy,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.12,SHARE,$720,"17,421",2025-02-12,2025-03-03,19
17,BBX_141_25W6_AK_FB_IMG_1x1_NEW_UGC_Blackpost_Itr-3,CTEST 2.06 | W6 | B | BBX_141_25W6_AK_FB_IMG_1x1_NEW_UGC_blackpost_Itr-1_,SHARE,$694,"14,524",2025-02-06,2025-03-02,24
18,BBX_2025_Jan_W05_TV_B1_138_FB_IMG_1x1_new_gone_3,CTEST 1.28 | W5 | B | BBX_2025_Jan_W05_TV_B1_138_FB_IMG_1x1_new_gone_1,SHARE,$640,"12,038",2025-01-28,2025-03-01,32
19,BB_2024_Apr_W14-TV_FB_IMG_1x1_New_Stock_GoneFast_v1 | 386294777663442 - Copy,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.12,SHARE,$607,"13,648",2025-02-12,2025-02-28,16
20,BBX_140_25W6_AK_FB_IMG_1x1_NEW_UGC_Fbpost_Itr-1,CTEST 2.06 | W6 | B | BBX_140_25W6_AK_FB_IMG_1x1_NEW_UGC_Fbpost_Itr-1,SHARE,$560,"9,422",2025-02-06,2025-03-02,24
21,BB_DG_35_VID_4x5_Fasting_V3 | 332851943007726 - Copy,CC110 || BEST ADS || 7dc || 25.1.24,VIDEO,$540,"8,650",2025-01-24,2025-03-26,61
22,BBX_165_25W9_AK_FB_IMG_1x1_NEW_UGC_bodybackground_Itr-2,CTEST 2.26 | W9 | B | BBX_165_25W9_AK_FB_IMG_1x1_NEW_UGC_bodybackground_Itr-1,SHARE,$508,"8,871",2025-02-26,2025-03-26,28
23,BBX_154_25W8_AK_FB_IMG_1x1_ITR_UGC_blackpost_Itr-1,CTEST 2.18 | W8 | B | BBX_154_25W8_AK_FB_IMG_1x1_ITR_UGC_blackpost_Itr-1,SHARE,$482,"11,184",2025-02-18,2025-02-28,10
24,BBX_2025_Jan_W05_TV_B1_138_FB_IMG_1x1_new_goinggoneboobs_3 - Copy,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.12,SHARE,$461,"15,617",2025-02-12,2025-03-04,20
25,BBX_CHUB-AS_FB_165_F-IMG_R-1x1_EN_25WK09_P-none_I-PuffyFace_Itr-3,CTEST 2.26 | W9 | B | BBX_CHUB-AS_FB_165_F-IMG_R-1x1_EN_25WK09_P-none_I-PuffyFace_Itr-1,SHARE,$454,"11,485",2025-02-26,2025-03-02,4
26,BB_DB_Weigtloss_Product - Copy 2,25-64 || ALL || Men focused ads,SHARE,$444,"6,627",2025-02-20,2025-02-28,8
27,BB_2024_May_W22-TV_B2_075_FB_IMG_1x1_New_Prana_Iteration_V3 | 421929340766652 - Copy,M25-64 || ALL || Men focused ads,SHARE,$435,"11,450",2025-02-20,2025-02-28,8
28,BBX_171_25W9_AK_FB_IMG_1x1_NEW_UGC_okladies_Itr-3,CTEST 2.26 | W9 | B | BBX_171_25W9_AK_FB_IMG_1x1_NEW_UGC_okladies_Itr-1_,SHARE,$431,"6,694",2025-02-26,2025-03-02,4
29,BBX_2025_Jan_W05_TV_B1_138_FB_IMG_1x1_new_goinggoneboobs_1 - Copy,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.12,SHARE,$414,"14,852",2025-02-12,2025-03-04,20
30,BBX_CHUB-AS_FB_166_F-VID_R-9x16_EN_25WK09_P-none_I-LookingFor_Itr-1,CTEST 2.26 | W9 | B | BBX_CHUB-AS_FB_166_F-VID_R-9x16_EN_25WK09_P-none_I-LookingFor_Itr-1,VIDEO,$384,"5,949",2025-02-26,2025-03-05,7
31,BBX_CHUB-AA_FB_167_F-IMG_R-1x1_EN_25WK09_P-box_I-Lazy-planNEW_Itr-1,CTEST 2.26 | W9 | B | BBX_CHUB-AA_FB_167_F-IMG_R-1x1_EN_25WK09_P-box_I-Lazy-planNEW_Itr-1,SHARE,$384,"6,277",2025-02-26,2025-03-04,6
32,BBX_25W9_CRO_FB_VID_1x1_NEW_UGC_Sierra-Smith_Itr-380773,CTEST 2.26 | W9 | B | Sierra Smith 1,VIDEO,$380,"6,204",2025-02-26,2025-03-02,4
33,BBX_145_25W6_AK_FB_VID_9x16_NEW_UGC_UGCblond_Itr-1-3 - Copy,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.26,VIDEO,$364,"7,677",2025-02-26,2025-02-27,1
34,BBX_170_25W9_AK_FB_IMG_1x1_NEW_UGC_fbpostmix_Itr-2,CTEST 2.26 | W9 | B | BBX_170_25W9_AK_FB_IMG_1x1_NEW_UGC_fbpostmix_Itr-1,SHARE,$339,"8,122",2025-02-26,2025-03-02,4
35,BBX_2025_Jan_W05_TV_B1_138_FB_IMG_1x1_new_gone_3 - Copy,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.12,SHARE,$331,"7,341",2025-02-12,2025-03-04,20
36,059_BB_TV_IMG_1x1_Iteration-of_OGsachets_Disappear | 381096238183296 - Copy 2,1 | US | BROAD | ALL | 1dc | 3MIX-2 | 2.26,SHARE,$331,"8,478",2025-02-26,2025-02-27,1
37,BBX_25W9_CRO_FB_VID_1x1_NEW_UGC_Sierra-Smith_Itr-380776,CTEST 2.26 | W9 | B | Sierra Smith 2,VIDEO,$330,"4,585",2025-02-26,2025-03-01,3
38,BBX_2025_Feb_W6_OT_FB_VID_9x16_NEW_UGC_Andrew-B_Itr-377228 - Copy 2,US | BROAD | ALL | 1dc | UGC only | 2.12,VIDEO,$315,"6,740",2025-02-14,2025-03-04,18
39,BBX_164_25W8_AK_FB_VID_9x16_NEW_UGC_ugcblond_Itr-3,CTEST 2.20 | W8 | B | BBX_164_25W8_CRO_FB_VID_9x16_NEW_UGC_ugcblond_Itr-1,VIDEO,$303,"5,059",2025-02-21,2025-03-01,8
40,BBX_145_25W6_AK_FB_VID_9x16_NEW_UGC_UGCblond_Itr-1-3 - Copy 3,W25-64 || ALL || Women focused ads,VIDEO,$293,"3,768",2025-02-20,2025-03-26,34
41,BBX_168_25W9_AK_FB_IMG_1x1_NEW_UGC_fbpost_Itr-2,CTEST 2.26 | W9 | B | BBX_168_25W9_AK_FB_IMG_1x1_NEW_UGC_fbpost_Itr-1,SHARE,$291,"5,032",2025-02-26,2025-03-01,3
42,BBX_2025_Feb_W6_OT_FB_VID_9x16_NEW_UGC_Andrew-B_Itr-377228 - Copy 2,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.12,VIDEO,$286,"6,559",2025-02-12,2025-03-04,20
43,BB_2024_Apr_W14-TV_FB_IMG_1x1_New_Stock_H-6_Sachet_In_Dust_v3 | 386294247663495 - Copy 3,W25-64 || ALL || Women focused ads,SHARE,$285,"4,407",2025-02-20,2025-03-26,34
44,BB_2024_Apr_W14-TV_FB_IMG_1x1_New_Stock_GoneFast_v1 | 386294777663442 - Copy,25-64 || ALL || Women focused ads,SHARE,$277,"4,221",2025-02-20,2025-03-12,20
45,BB_2024_Apr_W14-TV_FB_IMG_1x1_New_Stock_H-6_Sachet_In_Dust_v3 | 386294247663495,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.12,SHARE,$276,"6,071",2025-02-12,2025-03-04,20
46,BB_2024_May_W22-TV_B2_075_FB_IMG_1x1_New_Prana_Iteration_V3 | 421929340766652 - Copy,US | LAL 1-2% Klaviyo customer list | ALL | 7dc | BEST | 2.18,SHARE,$267,"7,692",2025-02-18,2025-02-25,7
47,BBX_164_25W8_AK_FB_VID_9x16_NEW_UGC_ugcblond_Itr-2,CTEST 2.20 | W8 | B | BBX_164_25W8_CRO_FB_VID_9x16_NEW_UGC_ugcblond_Itr-1,VIDEO,$263,"3,976",2025-02-21,2025-02-26,5
48,BBX_140_25W6_AK_FB_IMG_1x1_NEW_UGC_Fbpost_Itr-3,CTEST 2.06 | W6 | B | BBX_140_25W6_AK_FB_IMG_1x1_NEW_UGC_Fbpost_Itr-1,SHARE,$263,"4,118",2025-02-06,2025-03-02,24
49,BBX_25W9_CRO_FB_VID_1x1_NEW_UGC_Madisson-Otto_Itr-380780,CTEST 2.26 | W9 | B | Madisson Otto 2,VIDEO,$254,"3,782",2025-02-26,2025-03-01,3
50,BBX_CHUB-KZ_FB_157_F-IMG_R-1x1_EN_25WK08_P-OG_I-Gnuggets_Itr-4,CTEST 2.18 | W8 | B | BBX_CHUB-KZ_FB_157_F-IMG_R-1x1_EN_25WK08_P-OG_I-Gnuggets_Itr-4,SHARE,$240,"5,053",2025-02-18,2025-02-28,10
51,BBX_145_25W6_AK_FB_VID_9x16_NEW_UGC_UGCblond_Itr-1-3 - Copy 2,25-64 || ALL || Women focused ads,VIDEO,$239,"3,447",2025-02-20,2025-03-12,20
52,BBX_164_25W8_AK_FB_VID_9x16_NEW_UGC_ugcblond_Itr-1,CTEST 2.20 | W8 | B | BBX_164_25W8_CRO_FB_VID_9x16_NEW_UGC_ugcblond_Itr-1,VIDEO,$237,"4,370",2025-02-21,2025-03-10,17
53,BB_2024_May_W22-TV_B2_075_FB_IMG_1x1_ITR_MommyTummy_v3 | 421929167433336 - Copy 2,CC110 || BEST ADS || 7dc || OLD || 18.2.25,SHARE,$228,"4,898",2025-02-18,2025-03-26,36
54,BBX_CHUB-KZ_FB_157_F-IMG_R-1x1_EN_25WK08_P-OG_I-Gnuggets_Itr-6,CTEST 2.18 | W8 | B | BBX_CHUB-KZ_FB_157_F-IMG_R-1x1_EN_25WK08_P-OG_I-Gnuggets_Itr-4,SHARE,$194,"3,405",2025-02-18,2025-02-26,8
55,BBX_140_25W6_AK_FB_IMG_1x1_NEW_UGC_Fbpost_Itr-3 - Copy,US | BROAD | ALL | 1dc | 3MIX-1 | 2.26,SHARE,$190,"3,539",2025-02-26,2025-03-02,4
56,BBX_25W9_CRO_FB_VID_1x1_NEW_UGC_Sierra-Smith_Itr-380774,CTEST 2.26 | W9 | B | Sierra Smith 1,VIDEO,$179,"2,387",2025-02-26,2025-02-28,2
57,BBX_2024_AUG_W32-TV_B2_095_FB_IMG_1x1_new_fastin_timeline_v1 - Copy 2,M25-64 || ALL || Men focused ads,SHARE,$166,"4,078",2025-02-20,2025-02-28,8
58,BB_Orange_2024_Apr_W16_065_B2-TV_FB_IMG_1x1_ITR_Disappear_v2 | 395260926766827 - Copy,CC110 || BEST ADS || 7dc || 25.1.24,SHARE,$165,"3,292",2025-01-24,2025-03-26,61
59,BBX_2025_Jan_W04_TV_B2_138_FB_IMG_1x1_ITR_Disappear_1 - Copy,CC110 || BEST ADS || 7dc || NEW || 18.2.25,SHARE,$163,"3,837",2025-02-18,2025-03-04,14
60,BBX_2024_sep_W36-TV_B2_101_FB_IMG_1x1_new_orgasm_v3 - Copy,25-64 || ALL || Women focused ads,SHARE,$162,"3,324",2025-02-20,2025-02-24,4
61,BBX_153_25W8_AK_FB_IMG_1x1_ITR_UGC_obvi_Itr-3,CTEST 2.18 | W8 | B | BBX_153_25W8_AK_FB_IMG_1x1_ITR_UGC_obvi_Itr-1,SHARE,$157,"2,657",2025-02-18,2025-02-25,7
62,053_BB_TV_Variation_of_SachetsOG_LoseUpTo | 368573446102242 - Copy,US | LAL 1% Klaviyo customer list | ALL | 7dc | BEST | 2.12,SHARE,$153,"3,149",2025-02-12,2025-03-04,20
63,BBX_25W9_CRO_FB_VID_1x1_NEW_UGC_Madisson-Otto_Itr-380778,CTEST 2.26 | W9 | B | Madisson Otto 1,VIDEO,$149,"1,952",2025-02-26,2025-02-28,2
64,BBX_170_25W9_AK_FB_IMG_1x1_NEW_UGC_fbpostmix_Itr-1,CTEST 2.26 | W9 | B | BBX_170_25W9_AK_FB_IMG_1x1_NEW_UGC_fbpostmix_Itr-1,SHARE,$149,"2,892",2025-02-26,2025-03-04,6
65,BB_2024_Apr_W14-TV_FB_IMG_1x1_New_Stock_H-6_Sachet_In_Dust_v3 | 386294247663495 - Copy,CC110 || BEST ADS || 7dc || 25.1.24,SHARE,$147,"3,436",2025-01-24,2025-03-26,61
66,BBX_CHUB-AA_FB_152_F-IMG_R-1x1_EN_25WK07_P-none_I-Fasting-mistakesNEW_Itr-1,CTEST 2.13 | W7 | B | BBX_CHUB-AA_FB_152_F-IMG_R-1x1_EN_25WK07_P-none_I-Fasting-mistakesNEW_Itr-1,SHARE,$140,"2,372",2025-02-13,2025-02-25,12
67,BB_2024_May_W22-TV_B2_075_FB_IMG_1x1_New_AnotherFad copy 4 | 421929547433298,US | BROAD | ALL | 1dc | 3MIX-1 | 2.25,SHARE,$127,"2,562",2025-02-25,2025-02-26,1
68,BBX_CHUB-AA_FB_167_F-IMG_R-1x1_EN_25WK09_P-box_I-Lazy-planNEW_Itr-3,CTEST 2.26 | W9 | B | BBX_CHUB-AA_FB_167_F-IMG_R-1x1_EN_25WK09_P-box_I-Lazy-planNEW_Itr-1,SHARE,$121,"1,884",2025-02-26,2025-02-28,2
69,BBX_CHUB-AS_FB_166_F-VID_R-9x16_EN_25WK09_P-none_I-LookingFor_Itr-2,CTEST 2.26 | W9 | B | BBX_CHUB-AS_FB_166_F-VID_R-9x16_EN_25WK09_P-none_I-LookingFor_Itr-1,VIDEO,$118,"1,832",2025-02-26,2025-02-28,2
70,BBX_141_25W6_AK_FB_IMG_1x1_NEW_UGC_blackpost_Itr-2,CTEST 2.06 | W6 | B | BBX_141_25W6_AK_FB_IMG_1x1_NEW_UGC_blackpost_Itr-1_,SHARE,$118,"2,096",2025-02-06,2025-03-04,26
71,BB_2024_Apr_W14-TV_FB_IMG_1x1_New_Stock_GoneFast_v1 | 386294777663442 - Copy 2,W25-64 || ALL || Women focused ads,SHARE,$114,"1,599",2025-02-20,2025-02-28,8
72,BBX_25W9_CRO_FB_VID_1x1_NEW_UGC_Madisson-Otto_Itr-380779,CTEST 2.26 | W9 | B | Madisson Otto 2,VIDEO,$113,"1,255",2025-02-26,2025-02-28,2
