,Ad Name,Adset Name,Creative Type,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,BBX_145_25W6_AK_FB_VID_9x16_NEW_UGC_UGCblond_Itr-1-3 - Copy,US | W35+ | ALL | 1dc | MIX | 3.10,VIDEO,"$1,306","24,047",2025-03-10,2025-03-26,16
2,BBX_165_25W9_AK_FB_IMG_1x1_NEW_UGC_bodybackground_Itr-2 - Copy,ASC #16 || 25.3.12 Ad set,SHARE,"$1,068","12,751",2025-03-12,2025-03-26,14
3,BBX_159_25W8_AK_FB_IMG_1x1_ITR_UGC_fbpost_Itr-2,CTEST 2.19 | W8 | B | BBX_159_25W8_AK_FB_IMG_1x1_ITR_UGC_fbpost_Itr-1,SHARE,$832,"16,238",2025-02-19,2025-03-24,33
4,BBX_165_25W9_AK_FB_IMG_1x1_NEW_UGC_bodybackground_Itr-2,CTEST 2.26 | W9 | B | BBX_165_25W9_AK_FB_IMG_1x1_NEW_UGC_bodybackground_Itr-1,SHARE,$806,"12,057",2025-02-26,2025-03-26,28
5,BBX_140_25W6_AK_FB_IMG_1x1_NEW_UGC_Fbpost_Itr-1 - Copy,ASC #16 || 25.3.12 Ad set,SHARE,$789,"12,188",2025-03-12,2025-03-24,12
6,BBX_174_25W10_AK_FB_IMG_1x1_NEW_AI_egg_Itr-3,CTEST 3.5 | W10 | B | BBX_174_25W10_AK_FB_IMG_1x1_NEW_AI_egg_Itr-1,SHARE,$774,"16,057",2025-03-08,2025-03-20,12
7,BBX_145_25W6_AK_FB_VID_9x16_NEW_UGC_UGCblond_Itr-1-3 - Copy 3,W25-64 || ALL || Women focused ads,VIDEO,$704,"9,211",2025-02-20,2025-03-26,34
8,BBX_177_25W10_AK_FB_VID_1x1_NEW_UGC_Sierra_Itr-2,CTEST 3.5 | W10 | B | BBX_177_25W10_AK_FB_IMG_1x1_NEW_UGC_Sierra_Itr-1,VIDEO,$691,"10,397",2025-03-08,2025-03-20,12
9,BBX_2024_sep_W36-TV_B2_101_FB_IMG_1x1_new_orgasm_v3 | 485390854420500 - Copy,US | W35+ | ALL | 1dc | MIX | 3.10,SHARE,$669,"11,470",2025-03-10,2025-03-26,16
10,BBX_145_25W6_AK_FB_VID_9x16_NEW_UGC_UGCblond_Itr-2,CTEST 2.12 | W7 | B | BBX_145_25W6_AK_FB_VID_9x16_NEW_UGC_UGCblond_Itr-1,VIDEO,$658,"11,157",2025-02-12,2025-03-26,42
11,BBX_179_25W10_AK_FB_IMG_1x1_NEW_UGC_fbpost_Itr-2,CTEST 3.6 | W10 | B | BBX_179_25W10_AK_FB_IMG_1x1_NEW_UGC_fbpost_Itr-1,SHARE,$640,"15,770",2025-03-06,2025-03-16,10
12,BB_2024_May_W22-TV_B2_075_FB_IMG_1x1_ITR_MommyTummy_v3 | 421929167433336 - Copy 2,CC110 || BEST ADS || 7dc || OLD || 18.2.25,SHARE,$613,"9,554",2025-02-18,2025-03-26,36
13,BBX_158_25W8_AK_FB_IMG_1x1_ITR_UGC_fbpost_Itr-2,CTEST 2.19 | W8 | B | BBX_158_25W8_AK_FB_IMG_1x1_ITR_UGC_fbpost_Itr-1,SHARE,$612,"11,528",2025-02-19,2025-03-17,26
14,BB_2024_Apr_W14-TV_FB_IMG_1x1_New_Stock_GoneFast_v1 | 386294777663442 - Copy 2,US | W35+ | ALL | 1dc | MIX2 | 3.10,SHARE,$532,"11,295",2025-03-10,2025-03-12,2
15,BBX_2024_sep_W36-TV_B2_101_FB_IMG_1x1_new_orgasm_v3 - Copy 2,W25-64 || ALL || Women focused ads,SHARE,$485,"6,042",2025-02-20,2025-03-16,24
16,BB_2024_May_W20-TV_B1_071_FB_IMG_1x1_New_FBpost_with_BG_v1 | 411463955146524 - Copy,CC110 || BEST ADS || 7dc || OLD || 18.2.25,SHARE,$481,"12,728",2025-02-18,2025-03-26,36
17,BBX_175_25W10_AK_FB_IMG_1x1_NEW_Product_abs_Itr-1,CTEST 3.5 | W10 | B | BBX_175_25W10_AK_FB_IMG_1x1_NEW_Product_abs_Itr-1,SHARE,$460,"8,809",2025-03-08,2025-03-17,9
18,BB_2024_Apr_W14-TV_FB_IMG_1x1_New_Stock_H-6_Sachet_In_Dust_v3 | 386294247663495 - Copy 4,1 | US | BROAD | ALL | 1dc | MIX | 3.4,SHARE,$434,"11,103",2025-03-04,2025-03-12,8
19,BBX_159_25W8_AK_FB_IMG_1x1_ITR_UGC_fbpost_Itr-2 - Copy,ASC #16 || 25.3.12 Ad set,SHARE,$429,"6,835",2025-03-12,2025-03-26,14
20,BBX_185_25W11_AK_FB_VID_1x1_NEW_UGC_fasting_Itr-1,CTEST 3.13 | W11 | B | BBX_185_25W11_AK_FB_IMG_1x1_NEW_UGC_fasting_Itr-1,VIDEO,$424,"10,879",2025-03-13,2025-03-17,4
21,BBX_CHUB-AA_FB_175_F-IMG_R-1x1_EN_25WK10_P-none_I-BurningFat_Itr-2,CTEST 3.13 | W11 | B | BBX_CHUB-AA_FB_175_F-VID_R-1x1_EN_25WK10_P-none_I-BurningFat_Itr-1,SHARE,$419,"15,435",2025-03-13,2025-03-16,3
22,BBX_CHUB-AA_FB_178_F-IMG_R-1x1_EN_25WK10_P-box_I-Freeze-sale_Itr-3,CTEST 3.13 | W11 | B | BBX_CHUB-AA_FB_178_F-IMG_R-1x1_EN_25WK10_P-box_I-Freeze-sale_Itr-1,SHARE,$401,"10,074",2025-03-13,2025-03-26,13
23,BBX_181_25W11_AK_FB_IMG_1x1_NEW_UGC_shake_Itr-3,CTEST 3.13 | W11 | B | BBX_181_25W11_AK_FB_IMG_1x1_NEW_UGC_shake_Itr-1_,SHARE,$398,"7,296",2025-03-13,2025-03-16,3
24,BB_2024_Apr_W14-TV_FB_IMG_1x1_New_Stock_H-6_Sachet_In_Dust_v3 | 386294247663495 - Copy 3,W25-64 || ALL || Women focused ads,SHARE,$391,"6,140",2025-02-20,2025-03-26,34
25,BBX_184_25W11_AK_FB_IMG_1x1_VID_UGC_asmr_Itr-1,CTEST 3.13 | W11 | B | BBX_184_25W11_AK_FB_IMG_1x1_NEW_UGC_asmr_Itr-1,VIDEO,$365,"7,327",2025-03-13,2025-03-18,5
26,BB_DG_35_VID_4x5_Fasting_V3 | 332851943007726 - Copy,CC110 || BEST ADS || 7dc || 25.1.24,VIDEO,$358,"5,439",2025-01-24,2025-03-26,61
27,BBX_175_25W10_AK_FB_IMG_1x1_NEW_Product_abs_Itr-2,CTEST 3.5 | W10 | B | BBX_175_25W10_AK_FB_IMG_1x1_NEW_Product_abs_Itr-1,SHARE,$358,"6,643",2025-03-05,2025-03-20,15
28,BBX_CHUB-AA_FB_176_F-IMG_R-1x1_EN_25WK10_P-none_I-Burnout_Itr-3,CTEST 3.13 | W11 | B | BBX_CHUB-AA_FB_176_F-IMG_R-1x1_EN_25WK10_P-none_I-Burnout_Itr-1,SHARE,$316,"8,433",2025-03-13,2025-03-26,13
