,Ad Name,Adset Name,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
876,KC_MM_FB_3221_F-IMG_R-1x1_EN_24WK13_ACE8965_I-Challenge_A-NoCarbs_Itr-4__local_ES-USA.jpg | Sólo se tarda | 🥳 Día 1 | FU: 293 | FB: No Carbs,Broad | TOP4 | 25+ | All | LATAM-ES-US | FB pixel | 1C1V | FU: 293 || 04.01,$4,584,2025-04-01,2025-04-13,12
877,KC_MM_FB_3039_F-IMG_R-1x1_EN_25WK05_ACE8181_I-Detox_A-NoCarbs_Itr-2 | It Only Takes | Day 1 | FU: wbf-nocarbs-detox | FB: No Carbs,TOP4 | Best creatives | 25+ | 03.28 3 batch,$4,257,2025-04-10,2025-04-12,2
878,KC_MM_FB_3028_F-IMG_R-1x1_EN_25WK04_ACE8122_I-Basic_tiktok_A-NoCarbs_Itr-11 | The Only Plan | Day 1 | FU: 293 | FB: No Carbs,TOP4 | CC50 | Best creatives | 25+ | 03.29 3 batch,$4,160,2025-04-12,2025-04-14,2
879,KC_MM_FB_3101_F-VID_R-9x16_EN_25WK07_ACE8430_I-tiktok_A-NoCarbs_Itr-8 | Shed pounds easily | Day 1 | FU: 293 | FB: No Carbs,TOP4 || CBO || 1 AS  || CC50 || nocarbschallenge || 1c1v || WK05/08 || 03.04 Ad set,$4,142,2025-03-27,2025-04-14,18
880,KC_BR_FB_3228_F-IMG_R-1x1_EN_25WK13_ACE8991_I-blog_carbdetox_HG_en_A-Detox_Itr-1 | Shed pounds easily | Day 1 | FU: 293 | Fb: Health,TOP4 || CBO || 1 AS  || CC50 || Broad || nocarbschallenge || 1c1v || Best creatives || 03.29 Ad set,$4,114,2025-04-01,2025-04-08,7
881,KC_BR_FB_3047_F-IMG_R-1x1_EN_25WK05_ACE8204_I-Inflammation_A-NoCarbs_Itr-4 | It Only Takes | Day 1 | FU: wbf-nocarbs-inflammation | FB: No Carbs,TOP4 | Best creatives | 25+ | 03.28 2 batch,$4,168,2025-04-10,2025-04-12,2
882,KC_ADG-FRL_FB_3058_F-IMG_R-4x5_EN_24WK06_ACE8241_A-Carnivore_I-_Itr-5 | Shed pounds easily | Day 1 | FU: 311 | FB: Carnivore,TOP4 || CBO || 1 AS  || CC50 || nocarbschallenge || 1c1v || WK05/08 || 03.04 Ad set,$4,131,2025-03-05,2025-04-07,33
883,KC_MM_FB_2927_F-IMG_R-1x1_EN_24WK53_ACE7760_I-dietlist_A-Carnivore_Itr-7 | It Only Takes | Day 1 – Copy 5,TOP4 | Best creatives | 25+ | 03.28 3 batch,$4,138,2025-04-10,2025-04-12,2
884,KC_MM_FB_3259_F-IMG_R-1x1_EN_25WK14_ACE9103_I-weight_new_T-NC_A-NoCarbs_1_ | It Only Takes | Day 1 | FU: 293 | FB: No Carbs,TOP4 | WK14 | 25+ | 04.08,$4,102,2025-04-08,2025-04-10,2
885,KC_BR_FB_3126_F-IMG_R-1x1_EN_25WK08_ACE8534_I-blog_carbdetox_HG_en_A-NoCarbs_Itr-2 | try it right now | Day 1 | FU: 293 | FB: Health,WW | Last 3 days | 25+ | 03.23,$4,90,2025-04-12,2025-04-14,2
886,KC_BR_FB_3093_F-IMG_R-1x1_EN_25WK07_ACE8407_I-Inflammation_A-Inflammation_Itr-3 | Shed pounds easily | Day 1 | FU: 293 | FB: No Carbs,TOP4 || CBO || 1 AS  || CC50 || nocarbschallenge || 1c1v || WK05/08 || 03.04 Ad set,$4,172,2025-03-27,2025-04-14,18
