,Ad Name,Adset Name,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
27,CH_MPS_FB_1195_VID_EN_C-seniors_H-1083_T-923_Itr_W14_V1.mp4 | 28-Day Plan | Engineered | LP: cardi.health/home | FB: Cardi,CH_MPS_FB_1195_VID_EN_C-seniors_H-1083_T-923_Itr_W14_V1.mp4 | WK14,$210,"5,762",2025-04-02,2025-04-09,7
28,CH_MPS_FB_730_AdT-Combo_I-woman_A-HBP_IMG_1x1_S-Mix_M-Fem_H-0_T-1_CTA-0_EN_X-Itr_V-1,WC || US || ASC+  Campaign || all time best ads || 1DC || 03.01 Ad set,$206,"6,495",2024-03-01,2025-04-09,404
29,CH_MPS_FB_1195_VID_EN_C-seniors_H-1083_T-923_Itr_W14_V1.mp4 | 28-Day Plan | Engineered | LP: cardi.health/home | FB: Cardi,US | Broad | 18+ | W | 1DC | CpR | Batch 2,$204,"4,019",2025-04-04,2025-04-13,9
30,CH_RK_FB_1200_IMG_EN_C-DashDiet_H-1083_T-926_W15_V1 | 28-Day Plan | Engineered,CH_RK_FB_1200_IMG_EN_C-DashDiet_H-1083_T-926_W15_V1 | WK15,$200,"7,390",2025-04-10,2025-04-14,4
31,CH_MPS_FB_1169_IMG_EN_C-Menopause_H-1038_T-924_W05_V4 | Hypertension | Engineered | Page: Heartbeats | LP: cardi.health/home,All | 18+ | TOP2,$189,"9,868",2025-04-11,2025-04-13,2
32,CH_NB_FB_1182_IMG_EN_C-Seniors_H-1083_T-926_W09_V6 | Hypertension | Engineered,WW | Cardi + Klinio Leads | High CPA Countries Excluded | All 18+ | 7DC 1DV | CpR,$186,"10,350",2025-04-09,2025-04-10,1
33,CH_MPS_FB_1195_IMG_EN_C-seniors_H-1083_T-923_Itr_W14_V2 | 28-Day Plan | Engineered | LP: cardi.health/home | FB: Cardi,CH_MPS_FB_1195_IMG_EN_C-seniors_H-1083_T-923_Itr_W14_V2 | WK14,$184,"6,077",2025-04-02,2025-04-09,7
34,CH_NB_FB_1182_IMG_EN_C-Seniors_H-1083_T-926_W09_V6 | Hypertension | Engineered | LP: cardi.health/home/dash-diet | FB: Health Tips,All | 18+ | TOP2,$180,"5,035",2025-04-11,2025-04-11,0
35,CH_RK_FB_1151_IMG_EN_C-NewYear_W51_V2 | Hypertension | Engineered,WW | Cardi + Klinio Leads | High CPA Countries Excluded | All 18+ | 7DC 1DV | CpR,$180,"20,300",2025-01-28,2025-04-10,72
36,CH_MPS_FB_1195_IMG_EN_C-seniors_H-1083_T-923_Itr_W14_V5 | 28-Day Plan | Engineered | LP: cardi.health/home | FB: Cardi,CH_MPS_FB_1195_IMG_EN_C-seniors_H-1083_T-923_Itr_W14_V5 | WK14,$178,"6,585",2025-04-02,2025-04-09,7
37,CH_NB_FB_1182_IMG_EN_C-Seniors_H-1083_T-926_W09_V6 | Hypertension | Engineered | LP: cardi.health/home | FB: Cardi,Broad | All 25+ | 7DC 1DV | Android Only,$178,"6,240",2025-04-01,2025-04-09,8
38,CH_LA_FB_1197_IMG_EN_C-iterations_H-1083_T-926_Itr_W14_V1 | 28-Day Plan | Engineered | LP: cardi.health/home | FB: Cardi,US | Amazon.com (retailer) | 25+ | All | 7DC1DV,$175,"5,337",2025-04-08,2025-04-13,5
39,CH_NB_FB_1182_IMG_EN_C-Seniors_H-1083_T-926_W09_V6 | Hypertension | Engineered,Cardi Leads - Non Buyers | All 18+|| CpR,$175,"3,755",2025-03-03,2025-04-10,38
40,CH_MPS_FB_1195_IMG_EN_C-seniors_H-1083_T-923_Itr_W14_V3 | 28-Day Plan | Engineered | LP: cardi.health/home | FB: Cardi - Copy,US | YouTube (streaming service) | 25+ | All | 1DC7DV,$171,"5,882",2025-04-03,2025-04-11,8
