,Ad Name,Adset Name,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1848,BBF_SM_128_VD_3_AdF-St_1x1_L-US_25w09_blog_5reasonsbook_cv_en-Blog_Itr-111 | 5 mistakes | Eating whatever | LP:BB 575 – Copy 3,WW (incl. list) | HI/HG Engagers | 18-65+ | FB Pixel | 7C1V | 04.03,$1,80,2025-04-06,2025-04-07,1
1849,BBF_FB_3947_BR_1_AdF-St_blog_bellybook_cv_en_Itr-24w35-4-SL  | Simple belly fat | Bulge. Pooch. Pudge. | LP:BB 575 – Copy 6,"US,UK,CA | Broad | 18-65+ | FB Pixel | 1C | 04.12",$1,65,2025-04-12,2025-04-14,2
1850,BBF_FB_3948_BR_5_AdF-St_blog_5reasonsbook_cv_en_Itr-25w03-3-VD | 5 mistakes | Eating whatever | LP:BB 575 – Copy 5,WW (incl. list) | HI/HG Engagers | 18-65+ | FB Pixel | 7C1V | 04.12,$1,100,2025-04-12,2025-04-12,0
1851,BB_SM_1292_OS_3-5_AdF-St_1x1_L-US_24w39_Benefit-FreebookNew_CTA-00 - Copy 2,W21+ || Top LTV || BB LLA 2-4% || 1C || 03.07,$1,38,2025-03-08,2025-04-12,35
1852,BB_TT_417_L-US_SS_35A_AdT-New_MN-Savagemomlife_Influencers-Testimonials_S-SMS50 - Copy,W20+ || TopC || Broad || LP:Mix || Bl30d || 1C || 03.12,$1,68,2025-03-12,2025-04-14,33
1853,BB_GS_TT_214_2_MN-00_AdT-Testi_QBox_CH-60 - Copy,W21+ || TopC || BAU INT || LP:Mix || Bl30d || 1C || 03.26,$1,69,2025-03-26,2025-04-12,17
1854,BB_TT_327_L-US_R-9x16_GS_AdT-Vid_MN-Korne_S-SS60_2WIt-VD-1,manual || LP test || W21+ || Top LTV || /670 || BROAD || BL30d || 1C || 02.11,$1,63,2025-04-11,2025-04-14,3
1855,BB_FB_1105_VD_1_AdF-Vid_24w39_Testimonial-WeightLoss_CTA-14_Itr-24w39-10-10-OS - Copy 3,W21+ || TopC || Broad || LP:Mix || FrB Bl30d || 1C || 03.27,$1,80,2025-04-01,2025-04-13,12
1856,DF_3812_blog_hungerdrugbook_cv_en_BR_1080_1 | Dr. Lawson Answers | Dr. Lawson: I wish – Copy 8,"US,UK,CA | Emails | 18-65+ | FB Pixel | 7D1V | 1",$1,32,2025-04-09,2025-04-09,0
1857,DF_4299_V4_AK_EN_FB_IMG_1x1_blog_expertmenopausebook_cv_en_variation-3_PG-BPWL | Gynecology specialist | You’ll be surprised | LP:BB 575,"US,UK,CA | Broad | LP: BB 575 | Top Ads | Body Positivity & Weight Loss | L14d",$1,3,2025-04-04,2025-04-08,4
