,Ad Name,Adset Name,Creative Type,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,RH-INO_CHUB_12.30_FBPOST-OPTI_just-black_1x1_4 | LP:Colostrum,WC || US || LP:US || ASC+ || Scale || 01.16,SHARE,"$1,390","9,394",2025-01-16,2025-02-21,36
2,RH-INO_CHUB_12.30_FBPOST-OPTI_just-black_1x1_4 | LP:Colostrum,1c | All | 25-65+ | CC-125,SHARE,"$1,250","16,918",2025-01-16,2025-03-27,70
3,RH-INO_CHUB_12.30_FBPOST-OPTI_just-black_1x1_4 | 122154636746293571,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | FB post immitation Opti – Just black BG | W52,SHARE,"$1,034","8,056",2025-01-04,2025-03-27,82
4,Delete,WC || US || LP:US || ASC+ || Scale || CC-110 || 02.12,SHARE,"$1,020","8,302",2025-02-12,2025-02-17,5
5,RH_AK_FB_003_F-IMG_R-1X1_EN_25WK02_P-CO_black_itr-2 | 122156725634293571,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | 003_Black | W03,SHARE,"$1,015","5,530",2025-01-24,2025-03-27,62
6,RH_AK_FB_010_F-IMG_R-1X1_EN_25WK02_P-CO_ripoff-3 | 122157166934293571,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | 010_ripoff | W03,SHARE,$865,"4,669",2025-01-28,2025-03-27,58
7,RH_AK_FB_019_F-IMG_R-1X1_EN_25WK04_P-CO_fbpostcolor-3 | 122158172156293571,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | 019_Fbpostcolor | W04,SHARE,$852,"6,005",2025-01-24,2025-03-02,37
8,RH_AK_FB_018_F-IMG_R-1X1_EN_25WK04_P-CO_fbpost-3 | 122158172048293571,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | 018_Fbpost | W04,SHARE,$846,"5,697",2025-01-24,2025-03-02,37
9,RH-CO_CHUB_12.31_FBPOST-OPTI_colorBG_1x1_4 | LP:Colostrum,CB Buyers | A+ | 1c | 25+,SHARE,$752,"3,861",2025-01-24,2025-02-27,34
10,RH_AK_FB_018_F-IMG_R-1X1_EN_25WK04_P-CO_fbpost-3 | LP:Colostrum,1c | All | 25-65+ | CC-125,SHARE,$728,"9,227",2025-01-30,2025-03-27,56
11,RH_AK_FB_023_F-IMG_R-1X1_EN_25WK05_P-CO_black-1 | 122158826762293571,WC | US | LP:US COLOSTRUM | All | 23-65+ | 1c | 023_black | W05,SHARE,$611,"3,905",2025-02-11,2025-03-27,44
12,RH_AK_FB_024_F-IMG_R-1X1_EN_25WK05_P-CO_black-1 | 122158826456293571,WC | US | LP:US COLOSTRUM | All | 23-65+ | 1c | 024_black | W05,SHARE,$594,"4,662",2025-02-11,2025-02-25,14
13,RH_AK_FB_018_F-IMG_R-1X1_EN_25WK04_P-CO_fbpost-3 | LP:Colostrum,Bought any 3 or more | A+ | 1c | 25+,SHARE,$593,"4,052",2025-01-30,2025-02-20,21
14,RH_AK_FB_025_F-IMG_R-1X1_EN_25WK05_P-CO_fbpostopti-2 | 122158826576293571,WC | US | LP:US COLOSTRUM | All | 23-65+ | 1c | 025_fbpostiopti | W05,SHARE,$579,"3,586",2025-02-11,2025-03-24,41
15,RH_AK_FB_029_F-IMG_R-1X1_EN_25WK05_P-CO_smartgraphics-1 | 122159071670293571,WC | US | LP:US COLOSTRUM | All | 23-65+ | 1c | FB FEED | 029_smartgraphics | W05,SHARE,$568,"2,366",2025-01-31,2025-02-15,15
16,RH_AK_FB_026_F-IMG_R-1X1_EN_25WK05_P-CO_fbpostopti-1-1,WC | US | LP:US COLOSTRUM | All | 23-65+ | 1c | 026_fbpostiopti | W05,SHARE,$536,"3,269",2025-02-12,2025-02-25,13
17,RH_CHUB-KZ_FB_022_F-VID_R-9x16_EN_25WK04_P-CO_I-PhoneCallVideos_Itr-1,WC | US | LP:US COLOSTRUM | All | 23-65+ | 1c | 022_PhoneCall videos | W05,VIDEO,$524,"2,233",2025-02-14,2025-02-25,11
18,RH_AK_FB_018_F-IMG_R-1X1_EN_25WK04_P-CO_fbpost-3 | LP:Colostrum,WC || US || LP:US || ASC+ || Scale || CC-110 || 02.12,SHARE,$454,"2,602",2025-02-12,2025-03-27,43
