,Ad Name,Adset Name,Creative Type,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,RH_AK_FB_018_F-IMG_R-1X1_EN_25WK04_P-CO_fbpost-3 | LP:Colostrum,WC || US || LP:US || ASC+ || Scale || CC-110 || 02.12,SHARE,"$1,347","10,769",2025-02-12,2025-03-27,43
2,RH_AK_FB_019_F-IMG_R-1X1_EN_25WK04_P-CO_fbpostcolor-3 | 122158172156293571,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | 019_Fbpostcolor | W04,SHARE,"$1,000","8,877",2025-01-24,2025-03-02,37
3,RH_AK_FB_028_F-IMG_R-1X1_EN_25WK05_P-CO_avatar-3 | Relaunched,WC | US | LP:US COLOSTRUM | All | 23-65+ | 1c | 028_avatar | W05,SHARE,$996,"8,151",2025-02-14,2025-02-25,11
4,RH_AK_FB_025_F-IMG_R-1X1_EN_25WK05_P-CO_fbpostopti-2 | 122158826576293571,WC | US | LP:US COLOSTRUM | All | 23-65+ | 1c | 025_fbpostiopti | W05,SHARE,$967,"9,538",2025-02-11,2025-03-24,41
5,RH_AK_FB_023_F-IMG_R-1X1_EN_25WK05_P-CO_black-1 | 122158826762293571,WC | US | LP:US COLOSTRUM | All | 23-65+ | 1c | 023_black | W05,SHARE,$916,"7,642",2025-02-11,2025-03-27,44
6,RH-INO_CHUB_12.30_FBPOST-OPTI_just-black_1x1_4 | 122154636746293571,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | FB post immitation Opti – Just black BG | W52,SHARE,$912,"8,139",2025-01-04,2025-03-27,82
7,RH_AK_FB_010_F-IMG_R-1X1_EN_25WK02_P-CO_ripoff-3 | 122157166934293571,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | 010_ripoff | W03,SHARE,$912,"6,348",2025-01-28,2025-03-27,58
8,RH_AK_FB_018_F-IMG_R-1X1_EN_25WK04_P-CO_fbpost-3 | 122158172048293571,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | 018_Fbpost | W04,SHARE,$903,"7,686",2025-01-24,2025-03-02,37
9,RH-INO_CHUB_12.30_FBPOST-OPTI_just-black_1x1_4 | LP:Colostrum,1c | All | 25-65+ | CC-125,SHARE,$897,"15,604",2025-01-16,2025-03-27,70
10,RH_AK_FB_003_F-IMG_R-1X1_EN_25WK02_P-CO_black_itr-2 | 122156725634293571,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | 003_Black | W03,SHARE,$870,"5,802",2025-01-24,2025-03-27,62
11,RH-INO_CHUB_12.30_FBPOST-OPTI_just-black_1x1_4 | LP:Colostrum,WC || US || LP:US || ASC+ || Scale || 01.16,SHARE,$704,"5,944",2025-01-16,2025-02-21,36
12,RH-CO_CHUB_12.31_FBPOST-OPTI_colorBG_1x1_4 | LP:Colostrum,CB Buyers | A+ | 1c | 25+,SHARE,$663,"3,868",2025-01-24,2025-02-27,34
