,Ad Name,Adset Name,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
148,RH_AK_FB_010_F-IMG_R-1X1_EN_25WK02_P-CO_ripoff-3,Test,$2,18,2025-03-06,2025-04-13,38
149,RH_AK_FB_060_F-IMG_R-1X1_EN_25WK11_P-INO_obvi_itr-1,1c | All | 25-65+ | CC-120,$2,11,2025-03-25,2025-04-12,18
150,RH_AK_FB_024_F-IMG_R-1X1_EN_25WK05_P-CO_black-1 | LP:Colostrum,1c | All | 25-65+ | CC-125,$2,19,2025-02-19,2025-04-14,54
151,RH_AK_FB_075_F-IMG_R-1X1_EN_25WK13_P-INO_pill_itr-2,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 075_pill | W13,$2,10,2025-04-04,2025-04-07,3
152,RH_AK_FB_045_F-VID_R-9X16_EN_25WK08_P-CO_fbpost-1,1c | All | 25-65+ | CC-110,$2,1,2025-03-05,2025-04-09,35
153,RH_AK_FB_040_F-IMG_R-1X1_EN_25WK08_P-CO_body-1,1c | W | 23-65+ | CC-110,$2,33,2025-03-10,2025-04-14,35
154,RH_AK_FB_045_F-VID_R-9X16_EN_25WK08_P-CO_fbpost-3,WC | US | LP:US COLOSTRUM | All | 23-65+ | 1c | 045_fbpost | W08,$1,5,2025-03-01,2025-04-07,37
155,RH_AK_FB_071_F-IMG_R-1X1_EN_25WK12_P-INO_fbpost_itr-1,1c | All | 25-65+ | CC-120,$1,12,2025-04-11,2025-04-12,1
156,RH_AK_FB_003_F-IMG_R-1X1_EN_25WK02_P-CO_black_itr-2,WC || US || LP:US || ASC+ || Scale || CC-110 || 02.12,$1,23,2025-03-05,2025-04-14,40
157,RH_AK_FB_074_F-IMG_R-1X1_EN_25WK12_P-INO_fbpost_itr-1,1c | All | 25-65+ | CC-120,$1,19,2025-04-11,2025-04-12,1
158,RH_AK_FB_045_F-VID_R-9X16_EN_25WK08_P-CO_fbpost-1,1c | All | 25-65+ | CC-120,$1,8,2025-03-05,2025-04-12,38
159,RH_AK_FB_010_F-IMG_R-1X1_EN_25WK02_P-CO_ripoff-3,WC || US || LP:US || ASC+ || Scale || CC-110 || 02.12,$1,15,2025-03-05,2025-04-14,40
160,003_RHEA_TV_FB_1x1_IMG_New_Cortisol_Cleanse_2_BF | LP:Colostrum,1c | All | 25-65+ | CC-115,$1,17,2025-01-25,2025-04-13,78
161,RH_AK_FB_042_F-IMG_R-1X1_EN_25WK08_P-CO_fbtext-3,Test,$1,54,2025-03-06,2025-04-10,35
162,RH_AK_FB_003_F-IMG_R-1X1_EN_25WK02_P-CO_black_itr-2,Test,$1,10,2025-03-06,2025-04-12,37
163,RH_AK_FB_003_F-IMG_R-1X1_EN_25WK02_P-CO_black_itr-2 | LP:Colostrum,1c | All | 25-65+ | CC-115,$1,6,2025-01-30,2025-04-13,73
164,RH_AK_FB_019_F-IMG_R-1X1_EN_25WK04_P-CO_fbpostcolor-3 | LP:Colostrum,1c | All | 25-65+ | CC-115,$1,9,2025-02-14,2025-04-13,58
165,RH_AK_FB_019_F-IMG_R-1X1_EN_25WK04_P-CO_fbpostcolor-3 | LP:Colostrum,1c | All | 25-65+ | CC-110,$1,5,2025-02-17,2025-04-13,55
166,RH_AK_FB_074_F-IMG_R-1X1_EN_25WK12_P-INO_fbpost_itr-1,1c | All | 25-65+ | CC-115,$1,6,2025-04-11,2025-04-11,0
167,RH_AK_FB_059_F-IMG_R-1X1_EN_25WK11_P-INO_body_itr-3,1c | All | 25-65+ | CC-120,$1,11,2025-03-25,2025-04-12,18
168,RH_AK_FB_018_F-IMG_R-1X1_EN_25WK04_P-CO_fbpost-3 | LP:Colostrum,1c | All | 25-65+ | CC-115,$1,8,2025-01-30,2025-04-13,73
169,RH_AK_FB_003_F-IMG_R-1X1_EN_25WK02_P-CO_black_itr-2 | LP:Colostrum,1c | All | 25-65+ | CC-120,$1,7,2025-01-30,2025-04-12,72
170,RH_AK_FB_074_F-IMG_R-1X1_EN_25WK12_P-INO_fbpost_itr-3,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 074_fbpost | W13,$1,4,2025-04-04,2025-04-07,3
171,RH_AK_FB_073_F-IMG_R-1X1_EN_25WK12_P-INO_fbpost_itr-1,1c | All | 25-65+ | CC-110,$1,10,2025-04-11,2025-04-12,1
172,RH_AK_FB_023_F-IMG_R-1X1_EN_25WK05_P-CO_black-1 | LP:Colostrum,1c | All | 25-65+ | CC-110,$1,18,2025-02-19,2025-04-13,53
173,RH_AK_FB_029_F-IMG_R-1X1_EN_25WK05_P-CO_smartgraphics-1 | LP:Colostrum,1c | All | 25-65+ | CC-120,$1,10,2025-02-13,2025-04-12,58
174,RH_AK_FB_073_F-IMG_R-1X1_EN_25WK12_P-INO_fbpost_itr-1,1c | All | 25-65+ | CC-115,$0,3,2025-04-11,2025-04-11,0
175,RH_AK_FB_023_F-IMG_R-1X1_EN_25WK05_P-CO_black-1 | LP:Colostrum,1c | All | 25-65+ | CC-115,$0,5,2025-02-21,2025-04-13,51
176,RH_AK_FB_025_F-IMG_R-1X1_EN_25WK05_P-CO_fbpostopti-2 | LP:Colostrum,1c | All | 25-65+ | CC-110,$0,4,2025-02-19,2025-04-11,51
177,RH_AK_FB_074_F-IMG_R-1X1_EN_25WK12_P-INO_fbpost_itr-1,1c | All | 25-65+ | CC-110,$0,4,2025-04-11,2025-04-11,0
178,RH_AK_FB_029_F-IMG_R-1X1_EN_25WK05_P-CO_smartgraphics-1 | LP:Colostrum,1c | All | 25-65+ | CC-115,$0,5,2025-02-13,2025-04-13,59
179,RH_AK_FB_040_F-IMG_R-1X1_EN_25WK08_P-CO_body-1,1c | All | 25-65+ | CC-115,$0,6,2025-03-05,2025-04-13,39
180,RH_AK_FB_040_F-IMG_R-1X1_EN_25WK08_P-CO_body-1,1c | All | 25-65+ | CC-120,$0,6,2025-03-05,2025-04-12,38
181,RH_AK_FB_075_F-IMG_R-1X1_EN_25WK13_P-INO_pill_itr-1,WC | US | LP:US INOSITOL | All | 23-65+ | 1c | 075_pill | W13,$0,1,2025-04-04,2025-04-07,3
182,RH_AK_FB_040_F-IMG_R-1X1_EN_25WK08_P-CO_body-1,1c | All | 25-65+ | CC-110,$0,3,2025-03-05,2025-04-12,38
183,RH_AK_FB_071_F-IMG_R-1X1_EN_25WK12_P-INO_fbpost_itr-1,1c | All | 25-65+ | CC-115,$0,1,2025-04-11,2025-04-11,0
184,RH_AK_FB_043_F-IMG_R-1X1_EN_25WK08_P-CO_obvi-3,1c | All | 25-65+ | CC-115,$0,1,2025-03-05,2025-04-13,39
185,RH_AK_FB_059_F-IMG_R-1X1_EN_25WK11_P-INO_body_itr-3,1c | All | 25-65+ | CC-110,$0,5,2025-03-27,2025-04-11,15
186,RH_AK_FB_059_F-IMG_R-1X1_EN_25WK11_P-INO_body_itr-3,1c | All | 25-65+ | CC-115,$0,8,2025-03-25,2025-04-13,19
187,RH_AK_FB_071_F-IMG_R-1X1_EN_25WK12_P-INO_fbpost_itr-1,1c | All | 25-65+ | CC-110,$0,1,2025-04-12,2025-04-12,0
188,RH_AK_FB_010_F-IMG_R-1X1_EN_25WK02_P-CO_ripoff-3 | LP:Colostrum,CB buyers 4-5% | A+ | 1c | 25+,$0,4,2025-02-19,2025-04-14,54
189,RH_AK_FB_042_F-IMG_R-1X1_EN_25WK08_P-CO_fbtext-3,1c | All | 25-65+ | CC-120,$0,5,2025-03-05,2025-04-11,37
190,003_RHEA_TV_FB_1x1_IMG_New_Cortisol_Cleanse_2_BF | LP:Colostrum,1c | All | 25-65+ | CC-110,$0,2,2025-01-24,2025-04-10,76
191,RH_AK_FB_060_F-IMG_R-1X1_EN_25WK11_P-INO_obvi_itr-1,1c | All | 25-65+ | CC-110,$0,1,2025-03-25,2025-04-13,19
192,003_RHEA_TV_FB_1x1_IMG_New_Cortisol_Cleanse_2_BF | LP:Colostrum,1c | All | 25-65+ | CC-120,$0,1,2025-01-22,2025-04-14,82
193,RH_AK_FB_010_F-IMG_R-1X1_EN_25WK02_P-CO_ripoff-3 | LP:Colostrum,1c | All | 25-65+ | CC-120,$0,1,2025-02-13,2025-04-07,53
194,RH_AK_FB_060_F-IMG_R-1X1_EN_25WK11_P-INO_obvi_itr-1,1c | All | 25-65+ | CC-115,$0,1,2025-03-25,2025-04-13,19
195,RH_AK_FB_024_F-IMG_R-1X1_EN_25WK05_P-CO_black-1 | LP:Colostrum,1c | All | 25-65+ | CC-110,$0,1,2025-02-19,2025-04-14,54
196,RH_AK_FB_024_F-IMG_R-1X1_EN_25WK05_P-CO_black-1 | LP:Colostrum,1c | All | 25-65+ | CC-120,$0,1,2025-02-19,2025-04-07,47
