,Ad Name,Adset Name,Creative Type,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,RH_CHUB_01.06_Belly_1x1_4,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | Cortisol_belly | W02,SHARE,$706,"3,379",2025-01-13,2025-01-28,15
2,RH_AK_FB_008_F-VID_R-1X1_EN_25WK02_P-CO_belly_itr-1,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | 008_belly | W03,VIDEO,$574,"2,335",2025-01-21,2025-01-28,7
3,RH_AK_FB_009_F-IMG_R-1X1_EN_25WK02_P-CO_belly_itr-2,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | 009_belly | W03,SHARE,$482,"1,642",2025-01-21,2025-01-25,4
4,RH_AK_FB_003_F-IMG_R-1X1_EN_25WK02_P-CO_black_itr-2 | 122156725634293571,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | 003_Black | W03,SHARE,$469,"2,796",2025-01-24,2025-03-27,62
5,RH-INO_CHUB_12.30_FBPOST-OPTI_just-black_1x1_4 | 122154636746293571,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | FB post immitation Opti – Just black BG | W52,SHARE,$423,"2,122",2025-01-04,2025-03-27,82
6,RH-INO_CHUB_12.30_FBPOST-OPTI_just-black_1x1_4 | LP:Colostrum,WC || US || LP:US || ASC+ || Scale || 01.16,SHARE,$420,"1,783",2025-01-16,2025-02-21,36
7,RH_AK_FB_004_F-IMG_R-1X1_EN_25WK02_P-INO_pricey_itr-3,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | 004_pricey | W03,SHARE,$388,"1,487",2025-01-23,2025-01-28,5
8,RH-CO_CHUB_12.31_FBPOST-OPTI_colorBG_1x1_4 | 122154636842293571,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | FB post immitation Opti – Color BG | W52,SHARE,$383,"2,699",2025-01-03,2025-02-12,40
9,RH-INO_CHUB_01.08_FBPOST-OPTI_1x1_5,WC | US | LP:US INOSITOL | W | 23-65+ | 1c | FB post | W02,SHARE,$374,"3,019",2025-01-20,2025-01-31,11
10,RH-CO_CHUB_12.31_FBPOST-OPTI_colorBG_1x1_4 | LP:Colostrum,Bioma Buyers | A+ | 1c | 25+,SHARE,$354,"2,289",2025-01-23,2025-01-29,6
11,RH-CO_CHUB_12.31_FBPOST-OPTI_colorBG_1x1_4 | LP:Colostrum,WC || US || LP:US || ASC+ || Scale || 01.16,SHARE,$348,"2,295",2025-01-16,2025-01-24,8
12,RH-CO_CHUB_12.31_FBPOST-OPTI_colorBG_1x1_4,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | FB post immitation Opti – Color BG | W52,SHARE,$348,"2,084",2025-01-03,2025-02-12,40
13,RH-CO_CHUB_12.31_FBPOST-OPTI_colorBG_1x1_4 | LP:Colostrum,1c | W | 25-65+,SHARE,$333,"2,167",2025-01-16,2025-01-24,8
14,RH_AK_FB_002_F-IMG_R-1X1_EN_25WK02_P-CO_2pills_itr-3,WC | US | LP:US COLOSTRUM | W | 23-65+ | 1c | 002_2pills | W03,SHARE,$325,"1,825",2025-01-24,2025-01-27,3
15,RH-INO_CHUB_12.30_FBPOST-OPTI_just-black_1x1_4 | LP:Colostrum,1c | W | 25-65+,SHARE,$309,"1,814",2025-01-16,2025-01-26,10
16,003_RHEA_TV_FB_1x1_IMG_New_Cortisol_Cleanse_2_BF | LP:Colostrum,WC | US | LP:US COLOSTRUM | CORTISOL CLEANSE | W46,SHARE,$303,"1,558",2024-11-18,2025-01-23,66
