,Ad Name,Adset Name,Creative Type,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1,HH_MIN_FB_052_F-VID_R-4x5_EN_25WK15_I-Selfie_A-WL_Itr-1 | Menopause Weight Gain | Struggling with weight gain - Copy,ASC weight-loss 04.25 creatives Ad set,VIDEO,"$1,640","49,760",2025-04-25,2025-05-26,31
2,HH_MIN_FB_044_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy 3,ASC weight-loss 05.09 Ad set,VIDEO,"$1,142","27,284",2025-05-09,2025-05-26,17
3,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-1 - Copy 4,ASC weight-loss 05.09 Ad set,VIDEO,$848,"16,835",2025-05-09,2025-05-26,17
4,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy 3,ASC weight-loss 05.09 Ad set,VIDEO,$693,"15,491",2025-05-09,2025-05-26,17
5,HH_MIN_FB_081_F-VID_R-4x5_EN_25WK20_A-WL_Itr-2 | Shed weight | 14 days - Copy,ASC weight-loss 05.09 Ad set,VIDEO,$662,"18,240",2025-05-21,2025-05-26,5
6,HH_MIN_FB_044_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy 3,ASC weight-loss 04.25 creatives Ad set,VIDEO,$605,"13,122",2025-04-25,2025-05-26,31
7,HH_MIN_FB_081_F-VID_R-4x5_EN_25WK20_A-WL_Itr-2 | Shed weight | 14 days - Copy,ASC weight-loss 04.25 creatives Ad set,VIDEO,$560,"15,297",2025-05-21,2025-05-26,5
8,HH_MIN_FB_070_F-VID_R-4x5_EN_25WK19_A-WL_Itr-3 | Shed menopausal weight without exercise | 14 days - Copy 2,ASC weight-loss 05.09 Ad set,VIDEO,$436,"13,634",2025-05-09,2025-05-26,17
9,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy 2,ASC weight-loss 04.25 creatives Ad set,VIDEO,$430,"12,725",2025-04-25,2025-05-26,31
10,HH_MIN_FB_070_F-VID_R-4x5_EN_25WK19_A-WL_Itr-3 | Shed menopausal weight without exercise | 14 days - Copy 2,ASC weight-loss 04.25 creatives Ad set,VIDEO,$396,"11,118",2025-05-12,2025-05-26,14
11,HH_MIN_FB_044_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy 2,Broad,VIDEO,$310,"13,654",2025-05-14,2025-05-26,12
12,HH_MIN_FB_070_F-VID_R-4x5_EN_25WK19_A-WL_Itr-3 | It Only Takes 2 Weeks to See a Difference | 14 days - Copy 2,ASC weight-loss 05.09 Ad set,VIDEO,$261,"7,956",2025-05-09,2025-05-26,17
13,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy 2,ASC weight-loss 04.25 creatives Ad set,VIDEO,$220,"4,658",2025-04-25,2025-05-26,31
14,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy 2,Eating | B1,VIDEO,$211,"4,806",2025-05-14,2025-05-19,5
15,HH_MIN_FB_044_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy,Eating | B1,VIDEO,$194,"5,418",2025-05-14,2025-05-19,5
16,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-1 - Copy 2,Eating | B1,VIDEO,$177,"4,135",2025-05-14,2025-05-19,5
17,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy 2,Eating / Running | B2,VIDEO,$176,"5,431",2025-05-22,2025-05-26,4
18,HH_MIN_GJ_FB_090_F-VID_R-9x16_EN_25WK21_I-kitchen_T-NC_A-WL_2 | Shed weight | 14 days,HH_MIN_GJ_FB_090_F-VID_R-9x16_EN_25WK21_I-kitchen_T-NC_A-WL_2 | WK21 - Copy,VIDEO,$171,"2,580",2025-05-21,2025-05-26,5
19,HH_MIN_FB_044_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy 2,Eating / Running | B2,VIDEO,$171,"4,940",2025-05-22,2025-05-26,4
20,HH_MIN_FB_070_F-VID_R-4x5_EN_25WK19_A-WL_Itr-3 | Shed menopausal weight without exercise | 14 days - Copy,Broad,VIDEO,$171,"10,490",2025-05-14,2025-05-26,12
21,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy,Eating | B2,VIDEO,$145,"3,435",2025-05-15,2025-05-19,4
22,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy 2,Eating | B1,VIDEO,$128,"3,597",2025-05-02,2025-05-20,18
23,HH_MIN_FB_055_F-VID_R-4x5_EN_25WK15_I-Signs_A-WL_Itr-3 | Menopause Weight Gain | Struggling with weight gain - Copy 2,ASC weight-loss 04.25 creatives Ad set,VIDEO,$126,"4,568",2025-04-25,2025-05-26,31
